i,a,fa,b,fb,x1,fx1,x2,fx2
29,[0.],9.0,[8.3204],28.306656160000014,[3.17811],0.03172317210000008,[5.14229],4.5894064441
28,[0.],9.0,[5.14229],4.5894064441,[1.96418],1.0729230723999994,[3.17811],0.03172317210000008
27,[1.96418],1.0729230723999994,[5.14229],4.5894064441,[3.17811],0.03172317210000008,[3.92836],0.8618522896000009
26,[1.96418],1.0729230723999994,[3.92836],0.8618522896000009,[2.71443],0.08155022489999993,[3.17811],0.03172317210000008
25,[2.71443],0.08155022489999993,[3.92836],0.8618522896000009,[3.17811],0.03172317210000008,[3.46468],0.2159275024000004
24,[2.71443],0.08155022489999993,[3.46468],0.2159275024000004,[3.001],1.0000000000006678e-06,[3.17811],0.03172317210000008
23,[2.71443],0.08155022489999993,[3.17811],0.03172317210000008,[2.89154],0.0117635716,[3.001],1.0000000000006678e-06
22,[2.89154],0.0117635716,[3.17811],0.03172317210000008,[3.001],1.0000000000006678e-06,[3.06865],0.0047128224999999834
21,[2.89154],0.0117635716,[3.06865],0.0047128224999999834,[2.95919],0.001665456100000001,[3.001],1.0000000000006678e-06
20,[2.95919],0.001665456100000001,[3.06865],0.0047128224999999834,[3.001],1.0000000000006678e-06,[3.02684],0.0007203855999999986
19,[2.95919],0.001665456100000001,[3.02684],0.0007203855999999986,[2.98503],0.00022410089999999784,[3.001],1.0000000000006678e-06
18,[2.98503],0.00022410089999999784,[3.02684],0.0007203855999999986,[3.001],1.0000000000006678e-06,[3.01087],0.00011815690000000342
17,[2.98503],0.00022410089999999784,[3.01087],0.00011815690000000342,[2.9949],2.6010000000001064e-05,[3.001],1.0000000000006678e-06
16,[2.9949],2.6010000000001064e-05,[3.01087],0.00011815690000000342,[3.001],1.0000000000006678e-06,[3.00477],2.2752899999997317e-05
15,[2.9949],2.6010000000001064e-05,[3.00477],2.2752899999997317e-05,[2.99867],1.7689000000007326e-06,[3.001],1.0000000000006678e-06
14,[2.99867],1.7689000000007326e-06,[3.00477],2.2752899999997317e-05,[3.001],1.0000000000006678e-06,[3.00244],5.9535999999978215e-06
13,[2.99867],1.7689000000007326e-06,[3.00244],5.9535999999978215e-06,[3.00011],1.209999999996314e-08,[3.001],1.0000000000006678e-06
12,[2.99867],1.7689000000007326e-06,[3.001],1.0000000000006678e-06,[2.99956],1.9360000000019184e-07,[3.00011],1.209999999996314e-08
11,[2.99956],1.9360000000019184e-07,[3.001],1.0000000000006678e-06,[3.00011],1.209999999996314e-08,[3.00045],2.0249999999985547e-07
10,[2.99956],1.9360000000019184e-07,[3.00045],2.0249999999985547e-07,[2.9999],1.0000000000042206e-08,[3.00011],1.209999999996314e-08
9,[2.99956],1.9360000000019184e-07,[3.00011],1.209999999996314e-08,[2.99977],5.2900000000080273e-08,[2.9999],1.0000000000042206e-08
8,[2.99977],5.2900000000080273e-08,[3.00011],1.209999999996314e-08,[2.9999],1.0000000000042206e-08,[2.99998],4.00000000005241e-10
7,[2.9999],1.0000000000042206e-08,[3.00011],1.209999999996314e-08,[2.99998],4.00000000005241e-10,[3.00003],8.999999999851468e-10
6,[2.9999],1.0000000000042206e-08,[3.00003],8.999999999851468e-10,[2.99995],2.500000000032756e-09,[2.99998],4.00000000005241e-10
5,[2.99995],2.500000000032756e-09,[3.00003],8.999999999851468e-10,[2.99998],4.00000000005241e-10,[3.],1.9721522630525295e-31
4,[2.99998],4.00000000005241e-10,[3.00003],8.999999999851468e-10,[3.],1.9721522630525295e-31,[3.00001],1.0000000000131024e-10
3,[2.99998],4.00000000005241e-10,[3.00001],1.0000000000131024e-10,[2.99999],1.0000000000131024e-10,[3.],1.9721522630525295e-31
2,[2.99999],1.0000000000131024e-10,[3.00001],1.0000000000131024e-10,[3.],1.9721522630525295e-31,[3.],0.0
1,[3.],1.9721522630525295e-31,[3.00001],1.0000000000131024e-10,[3.],0.0,[3.00001],9.999999999242846e-11
