i,a,fa,b,fb,x1,fx1,x2,fx2
26,[0.],0.0,[1.96418],1.7531092172000022,[0.75025],-2.0626248125,[1.21393],-1.6487718652999996
25,[0.],0.0,[1.21393],-1.6487718652999996,[0.46368],-1.6734025728,[0.75025],-2.0626248125
24,[0.46368],-1.6734025728,[1.21393],-1.6487718652999996,[0.75025],-2.0626248125,[0.92736],-2.0568102911999997
23,[0.46368],-1.6734025728,[0.92736],-2.0568102911999997,[0.64079],-1.9721145277,[0.75025],-2.0626248125
22,[0.64079],-1.9721145277,[0.92736],-2.0568102911999997,[0.75025],-2.0626248125,[0.8179],-2.08261877
21,[0.75025],-2.0626248125,[0.92736],-2.0568102911999997,[0.8179],-2.08261877,[0.85971],-2.0812461477
20,[0.75025],-2.0626248125,[0.85971],-2.0812461477,[0.79206],-2.0782228692,[0.8179],-2.08261877
19,[0.79206],-2.0782228692,[0.85971],-2.0812461477,[0.8179],-2.08261877,[0.83387],-2.0833324693
18,[0.8179],-2.08261877,[0.85971],-2.0812461477,[0.83387],-2.0833324693,[0.84374],-2.0830084371999997
17,[0.8179],-2.08261877,[0.84374],-2.0830084371999997,[0.82777],-2.0832404813,[0.83387],-2.0833324693
16,[0.82777],-2.0832404813,[0.84374],-2.0830084371999997,[0.83387],-2.0833324693,[0.83764],-2.0832776912
15,[0.82777],-2.0832404813,[0.83764],-2.0832776912,[0.83154],-2.0833236852000003,[0.83387],-2.0833324693
14,[0.83154],-2.0833236852000003,[0.83764],-2.0832776912,[0.83387],-2.0833324693,[0.83531],-2.0833216116999997
13,[0.83154],-2.0833236852000003,[0.83531],-2.0833216116999997,[0.83298],-2.0833329588000007,[0.83387],-2.0833324693
12,[0.83154],-2.0833236852000003,[0.83387],-2.0833324693,[0.83243],-2.0833308852999997,[0.83298],-2.0833329588000007
11,[0.83243],-2.0833308852999997,[0.83387],-2.0833324693,[0.83298],-2.0833329588000007,[0.83332],-2.0833333328000005
10,[0.83298],-2.0833329588000007,[0.83387],-2.0833324693,[0.83332],-2.0833333328000005,[0.83353],-2.0833332173
9,[0.83298],-2.0833329588000007,[0.83353],-2.0833332173,[0.83319],-2.0833332717000004,[0.83332],-2.0833333328000005
8,[0.83319],-2.0833332717000004,[0.83353],-2.0833332173,[0.83332],-2.0833333328000005,[0.8334],-2.0833333200000004
7,[0.83319],-2.0833332717000004,[0.8334],-2.0833333200000004,[0.83327],-2.0833333213000005,[0.83332],-2.0833333328000005
6,[0.83327],-2.0833333213000005,[0.8334],-2.0833333200000004,[0.83332],-2.0833333328000005,[0.83335],-2.0833333324999996
5,[0.83327],-2.0833333213000005,[0.83335],-2.0833333324999996,[0.8333],-2.0833333300000003,[0.83332],-2.0833333328000005
4,[0.8333],-2.0833333300000003,[0.83335],-2.0833333324999996,[0.83332],-2.0833333328000005,[0.83333],-2.0833333333
3,[0.83332],-2.0833333328000005,[0.83335],-2.0833333324999996,[0.83333],-2.0833333333,[0.83334],-2.0833333332
2,[0.83332],-2.0833333328000005,[0.83334],-2.0833333332,[0.83333],-2.0833333332999997,[0.83333],-2.0833333333
1,[0.83333],-2.0833333332999997,[0.83334],-2.0833333332,[0.83333],-2.0833333333,[0.83334],-2.0833333331999997
