i,a,fa,b,fb,x1,fx1,x2,fx2
26,[1.71393],-0.13881471132063716,[3.5],0.16199312002797242,[2.46418],-0.2743780902977449,[2.92786],-0.0818878634403301
25,[1.71393],-0.13881471132063716,[2.92786],-0.0818878634403301,[2.17761],-0.3043526123724001,[2.46418],-0.2743780902977449
24,[1.71393],-0.13881471132063716,[2.46418],-0.2743780902977449,[2.0005],-0.2729050244214692,[2.17761],-0.3043526123724001
23,[2.0005],-0.2729050244214692,[2.46418],-0.2743780902977449,[2.17761],-0.3043526123724001,[2.28707],-0.3039997921935246
22,[2.0005],-0.2729050244214692,[2.28707],-0.3039997921935246,[2.10996],-0.2970995009623948,[2.17761],-0.3043526123724001
21,[2.10996],-0.2970995009623948,[2.28707],-0.3039997921935246,[2.17761],-0.3043526123724001,[2.21942],-0.30594894002309414
20,[2.17761],-0.3043526123724001,[2.28707],-0.3039997921935246,[2.21942],-0.30594894002309414,[2.24526],-0.3058562833898026
19,[2.17761],-0.3043526123724001,[2.24526],-0.3058562833898026,[2.20345],-0.30559594410016816,[2.21942],-0.30594894002309414
18,[2.20345],-0.30559594410016816,[2.24526],-0.3058562833898026,[2.21942],-0.30594894002309414,[2.22929],-0.3060098968183245
17,[2.21942],-0.30594894002309414,[2.24526],-0.3058562833898026,[2.22929],-0.3060098968183245,[2.23539],-0.3059879002009247
16,[2.21942],-0.30594894002309414,[2.23539],-0.3059879002009247,[2.22552],-0.3060007279610181,[2.22929],-0.3060098968183245
15,[2.22552],-0.3060007279610181,[2.23539],-0.3059879002009247,[2.22929],-0.3060098968183245,[2.23162],-0.3060068617757399
14,[2.22552],-0.3060007279610181,[2.23162],-0.3060068617757399,[2.22785],-0.3060084504271161,[2.22929],-0.3060098968183245
13,[2.22785],-0.3060084504271161,[2.23162],-0.3060068617757399,[2.22929],-0.3060098968183245,[2.23018],-0.3060095214006529
12,[2.22785],-0.3060084504271161,[2.23018],-0.3060095214006529,[2.22874],-0.306009644102295,[2.22929],-0.3060098968183245
11,[2.22874],-0.306009644102295,[2.23018],-0.3060095214006529,[2.22929],-0.3060098968183245,[2.22963],-0.3060098678260684
10,[2.22874],-0.306009644102295,[2.22963],-0.3060098678260684,[2.22908],-0.3060098440345252,[2.22929],-0.3060098968183245
9,[2.22908],-0.3060098440345252,[2.22963],-0.3060098678260684,[2.22929],-0.3060098968183245,[2.22942],-0.3060099024406077
8,[2.22929],-0.3060098968183245,[2.22963],-0.3060098678260684,[2.22942],-0.3060099024406077,[2.2295],-0.30600989561862435
7,[2.22929],-0.3060098968183245,[2.2295],-0.30600989561862435,[2.22937],-0.3060099027263163,[2.22942],-0.3060099024406077
6,[2.22929],-0.3060098968183245,[2.22942],-0.3060099024406077,[2.22934],-0.30600990142888146,[2.22937],-0.3060099027263163
5,[2.22934],-0.30600990142888146,[2.22942],-0.3060099024406077,[2.22937],-0.3060099027263163,[2.22939],-0.3060099029792441
4,[2.22937],-0.3060099027263163,[2.22942],-0.3060099024406077,[2.22939],-0.3060099029792441,[2.2294],-0.30600990292210156
3,[2.22937],-0.3060099027263163,[2.2294],-0.30600990292210156,[2.22938],-0.30600990291398256,[2.22939],-0.3060099029792441
2,[2.22938],-0.30600990291398256,[2.2294],-0.30600990292210156,[2.22939],-0.3060099029792441,[2.22939],-0.3060099029792441
1,[2.22938],-0.30600990291398256,[2.22939],-0.3060099029792441,[2.22938],-0.30600990291398256,[2.22939],-0.3060099029792441
