k,a,b,y,f(y),z,f(z),erro,min
0,[0.5],[3.5],[1.64589803],-0.0935792087379601,[2.35410197],-0.29677489478667485,[3.],[2.]
1,[1.64589803],[3.5],[2.35410197],-0.29677489478667485,[2.79179607],-0.14882305038077287,[1.85410197],[2.57294902]
2,[1.64589803],[2.79179607],[2.08359214],-0.29268544209937813,[2.35410197],-0.29677489478667485,[1.14589803],[2.21884705]
3,[2.08359214],[2.79179607],[2.35410197],-0.29677489478667485,[2.52128624],-0.25811285447596305,[0.70820393],[2.4376941]
4,[2.08359214],[2.52128624],[2.25077641],-0.30573125718423155,[2.35410197],-0.29677489478667485,[0.4376941],[2.30243919]
5,[2.08359214],[2.35410197],[2.1869177],-0.3048967269415014,[2.25077641],-0.30573125718423155,[0.27050983],[2.21884705]
6,[2.1869177],[2.35410197],[2.25077641],-0.30573125718423155,[2.29024326],-0.30377424442205353,[0.16718427],[2.27050983]
7,[2.1869177],[2.29024326],[2.22638455],-0.3060043701275089,[2.25077641],-0.30573125718423155,[0.10332556],[2.23858048]
8,[2.1869177],[2.25077641],[2.21130955],-0.3058090956792969,[2.22638455],-0.3060043701275089,[0.06385871],[2.21884705]
9,[2.21130955],[2.25077641],[2.22638455],-0.3060043701275089,[2.23570141],-0.3059855584372758,[0.03946685],[2.23104298]
10,[2.21130955],[2.23570141],[2.22062641],-0.3059628119458541,[2.22638455],-0.3060043701275089,[0.02439186],[2.22350548]
11,[2.22062641],[2.23570141],[2.22638455],-0.3060043701275089,[2.22994327],-0.3060097158794785,[0.015075],[2.22816391]
12,[2.22638455],[2.23570141],[2.22994327],-0.3060097158794785,[2.23214268],-0.306005269298524,[0.00931686],[2.23104298]
13,[2.22638455],[2.23214268],[2.22858396],-0.30600950495733287,[2.22994327],-0.3060097158794785,[0.00575814],[2.22926362]
14,[2.22858396],[2.23214268],[2.22994327],-0.3060097158794785,[2.23078337],-0.30600871565712995,[0.00355872],[2.23036332]
15,[2.22858396],[2.23078337],[2.22942406],-0.3060099022830071,[2.22994327],-0.3060097158794785,[0.00219941],[2.22968367]
16,[2.22858396],[2.22994327],[2.22910317],-0.30600985250871526,[2.22942406],-0.3060099022830071,[0.00135931],[2.22926362]
17,[2.22910317],[2.22994327],[2.22942406],-0.3060099022830071,[2.22962238],-0.306009870025042,[0.0008401],[2.22952322]
18,[2.22910317],[2.22962238],[2.22930149],-0.30600989814894863,[2.22942406],-0.3060099022830071,[0.00051921],[2.22936278]
19,[2.22930149],[2.22962238],[2.22942406],-0.3060099022830071,[2.22949981],-0.30600989564362063,[0.00032089],[2.22946194]
20,[2.22930149],[2.22949981],[2.22937724],-0.30600990287448976,[2.22942406],-0.3060099022830071,[0.00019832],[2.22940065]
21,[2.22930149],[2.22942406],[2.22934831],-0.3060099018985839,[2.22937724],-0.30600990287448976,[0.00012257],[2.22936278]
22,[2.22934831],[2.22942406],[2.22937724],-0.30600990287448976,[2.22939513],-0.3060099029652367,[7.5751837e-05],[2.22938619]
23,[2.22937724],[2.22942406],[2.22939513],-0.3060099029652367,[2.22940618],-0.30600990282560586,[4.681721e-05],[2.22940065]
24,[2.22937724],[2.22940618],[2.2293883],-0.30600990297677677,[2.22939513],-0.3060099029652367,[2.8934627e-05],[2.22939171]
25,[2.22937724],[2.22939513],[2.22938408],-0.3060099029553544,[2.2293883],-0.30600990297677677,[1.7882583e-05],[2.22938619]
26,[2.22938408],[2.22939513],[2.2293883],-0.30600990297677677,[2.22939091],-0.3060099029791097,[1.10520441e-05],[2.2293896]
27,[2.2293883],[2.22939513],[2.22939091],-0.3060099029791097,[2.22939252],-0.3060099029763854,[6.83053888e-06],[2.22939171]
