k,a,b,y,f(y),z,f(z),erro,min
0,[0.],[10.],[3.81966011],2.214645812856945,[6.18033989],29.45654238456246,[10.],[5.]
1,[0.],[6.18033989],[2.36067977],-0.4011108076116765,[3.81966011],2.214645812856945,[6.18033989],[3.09016994]
2,[0.],[3.81966011],[1.45898034],0.11814665169031156,[2.36067977],-0.4011108076116765,[3.81966011],[1.90983006]
3,[1.45898034],[3.81966011],[2.36067977],-0.4011108076116765,[2.91796068],-0.14662900457505246,[2.36067977],[2.63932023]
4,[1.45898034],[2.91796068],[2.01626124],-0.2818468645591039,[2.36067977],-0.4011108076116765,[1.45898034],[2.18847051]
5,[2.01626124],[2.91796068],[2.36067977],-0.4011108076116765,[2.57354214],-0.38258915710607444,[0.90169944],[2.46711096]
6,[2.01626124],[2.57354214],[2.2291236],-0.37416571386532316,[2.36067977],-0.4011108076116765,[0.5572809],[2.29490169]
7,[2.2291236],[2.57354214],[2.36067977],-0.4011108076116765,[2.44198596],-0.40384601105939866,[0.34441854],[2.40133287]
8,[2.36067977],[2.57354214],[2.44198596],-0.40384601105939866,[2.49223595],-0.3996499140275003,[0.21286236],[2.46711096]
9,[2.36067977],[2.49223595],[2.41092976],-0.4041492691865314,[2.44198596],-0.40384601105939866,[0.13155617],[2.42645786]
10,[2.36067977],[2.44198596],[2.39173598],-0.4034937519641677,[2.41092976],-0.4041492691865314,[0.08130619],[2.40133287]
11,[2.39173598],[2.44198596],[2.41092976],-0.4041492691865314,[2.42279218],-0.40423474523969216,[0.05024999],[2.41686097]
12,[2.41092976],[2.44198596],[2.42279218],-0.40423474523969216,[2.43012355],-0.40416370313938965,[0.0310562],[2.42645786]
13,[2.41092976],[2.43012355],[2.41826114],-0.4042312086143658,[2.42279218],-0.40423474523969216,[0.01919379],[2.42052666]
14,[2.41826114],[2.43012355],[2.42279218],-0.40423474523969216,[2.42559251],-0.4042188398661086,[0.01186241],[2.42419234]
15,[2.41826114],[2.42559251],[2.42106147],-0.4042376579032656,[2.42279218],-0.40423474523969216,[0.00733137],[2.42192682]
16,[2.41826114],[2.42279218],[2.41999184],-0.40423682131915917,[2.42106147],-0.4042376579032656,[0.00453104],[2.42052666]
17,[2.41999184],[2.42279218],[2.42106147],-0.4042376579032656,[2.42172254],-0.4042371682087269,[0.00280034],[2.42139201]
18,[2.41999184],[2.42172254],[2.42065291],-0.40423757591900267,[2.42106147],-0.4042376579032656,[0.0017307],[2.42085719]
19,[2.42065291],[2.42172254],[2.42106147],-0.4042376579032656,[2.42131398],-0.40423756167829095,[0.00106963],[2.42118773]
20,[2.42065291],[2.42131398],[2.42090542],-0.404237661259762,[2.42106147],-0.4042376579032656,[0.00066107],[2.42098344]
21,[2.42065291],[2.42106147],[2.42080897],-0.4042376419046543,[2.42090542],-0.404237661259762,[0.00040856],[2.42085719]
22,[2.42080897],[2.42106147],[2.42090542],-0.404237661259762,[2.42096502],-0.4042376650368136,[0.00025251],[2.42093522]
23,[2.42090542],[2.42106147],[2.42096502],-0.4042376650368136,[2.42100186],-0.40423766424452423,[0.00015606],[2.42098344]
24,[2.42090542],[2.42100186],[2.42094226],-0.4042376643321919,[2.42096502],-0.4042376650368136,[9.64487568e-05],[2.42095364]
25,[2.42094226],[2.42100186],[2.42096502],-0.4042376650368136,[2.4209791],-0.40423766501612346,[5.96086099e-05],[2.42097206]
26,[2.42094226],[2.4209791],[2.42095633],-0.40423766487536006,[2.42096502],-0.4042376650368136,[3.68401469e-05],[2.42096068]
27,[2.42095633],[2.4209791],[2.42096502],-0.4042376650368136,[2.4209704],-0.4042376650700443,[2.27684629e-05],[2.42096771]
28,[2.42096502],[2.4209791],[2.4209704],-0.4042376650700443,[2.42097372],-0.40423766506515935,[1.4071684e-05],[2.42097206]
29,[2.42096502],[2.42097372],[2.42096835],-0.40423766506335324,[2.4209704],-0.4042376650700443,[8.69677897e-06],[2.42096937]
