k,a,b,y,f(y),z,f(z),erro,min
0,[0.],[10.],[3.81966011],0.6718427000252355,[6.18033989],10.114561800016828,[10.],[5.]
1,[0.],[6.18033989],[2.36067977],0.40873035009673997,[3.81966011],0.6718427000252355,[6.18033989],[3.09016994]
2,[0.],[3.81966011],[1.45898034],2.374741600201893,[2.36067977],0.40873035009673997,[3.81966011],[1.90983006]
3,[1.45898034],[3.81966011],[2.36067977],0.40873035009673997,[2.91796068],0.006730450845420533,[2.36067977],[2.63932023]
4,[2.36067977],[3.81966011],[2.91796068],0.006730450845420533,[3.26237921],0.0688428511482575,[1.45898034],[3.09016994]
5,[2.36067977],[3.26237921],[2.70509831],0.08696700529965067,[2.91796068],0.006730450845420533,[0.90169944],[2.81152949]
6,[2.70509831],[3.26237921],[2.91796068],0.006730450845420533,[3.04951685],0.002451918431006667,[0.5572809],[2.98373876]
7,[2.91796068],[3.26237921],[3.04951685],0.002451918431006667,[3.13082304],0.017114667148154676,[0.34441854],[3.09016994]
8,[2.91796068],[3.13082304],[2.99926686],5.374904998566222e-07,[3.04951685],0.002451918431006667,[0.21286236],[3.02439186]
9,[2.91796068],[3.04951685],[2.96821066],0.0010105619842378398,[2.99926686],5.374904998566222e-07,[0.13155617],[2.98373876]
10,[2.96821066],[3.04951685],[2.99926686],5.374904998566222e-07,[3.01846065],0.0003407955917448636,[0.08130619],[3.00886376]
11,[2.96821066],[3.01846065],[2.98740445],0.00015864788817300702,[2.99926686],5.374904998566222e-07,[0.05024999],[2.99333566]
12,[2.98740445],[3.01846065],[2.99926686],5.374904998566222e-07,[3.00659824],4.35367304882985e-05,[0.0310562],[3.00293255]
13,[2.98740445],[3.00659824],[2.99473582],2.771154868214571e-05,[2.99926686],5.374904998566222e-07,[0.01919379],[2.99700134]
14,[2.99473582],[3.00659824],[2.99926686],5.374904998566222e-07,[3.0020672],4.273309162400486e-06,[0.01186241],[3.00066703]
15,[2.99473582],[3.0020672],[2.99753616],6.070508299437392e-06,[2.99926686],5.374904998566222e-07,[0.00733137],[2.99840151]
16,[2.99753616],[3.0020672],[2.99926686],5.374904998566222e-07,[3.0003365],1.1322933441142716e-07,[0.00453104],[2.99980168]
17,[2.99926686],[3.0020672],[3.0003365],1.1322933441142716e-07,[3.00099757],9.95136490384079e-07,[0.00280034],[3.00066703]
18,[2.99926686],[3.00099757],[2.99992793],5.193771016707319e-09,[3.0003365],1.1322933441142716e-07,[0.0017307],[3.00013221]
19,[2.99926686],[3.0003365],[2.99967543],1.0534824627502127e-07,[2.99992793],5.193771016707319e-09,[0.00106963],[2.99980168]
20,[2.99967543],[3.0003365],[2.99992793],5.193771016707319e-09,[3.00008399],7.054243553568039e-09,[0.00066107],[3.00000596]
21,[2.99967543],[3.00008399],[2.99983148],2.8397837439460994e-08,[2.99992793],5.193771016707319e-09,[0.00040856],[2.99987971]
22,[2.99983148],[3.00008399],[2.99992793],5.193771016707319e-09,[2.99998754],1.552319754543711e-10,[0.00025251],[2.99995774]
23,[2.99992793],[3.00008399],[2.99998754],1.552319754543711e-10,[3.00002438],5.944299644390351e-10,[0.00015606],[3.00000596]
24,[2.99992793],[3.00002438],[2.99996477],1.2409891154868477e-09,[2.99998754],1.552319754543711e-10,[9.64487568e-05],[2.99997616]
25,[2.99996477],[3.00002438],[2.99998754],1.552319754543711e-10,[3.00000161],2.600064335057271e-12,[5.96086099e-05],[2.99999458]
26,[2.99998754],[3.00002438],[3.00000161],2.600064335057271e-12,[3.00001031],1.0628064532113103e-10,[3.68401469e-05],[3.00000596]
27,[2.99998754],[3.00001031],[2.99999624],1.4155905837567546e-11,[3.00000161],2.600064335057271e-12,[2.27684629e-05],[2.99999893]
28,[2.99999624],[3.00001031],[3.00000161],2.600064335057271e-12,[3.00000493],2.4347765265497522e-11,[1.4071684e-05],[3.00000327]
29,[2.99999624],[3.00000493],[2.99999956],1.9409269416344826e-13,[3.00000161],2.600064335057271e-12,[8.69677897e-06],[3.00000059]
