res,erro
[ 0.0154 -0.0616],-0.06
[0. 0.],-0.06999999999999998
[0.0744 0.2024],0.0
[0.05365    0.19624375],-0.03500000000000003
[-0.0404  0.4286],0.0
[0.03860439 0.36046719],0.0
[0.02737314 0.3642418 ],-0.045273437499999986
[-0.03735     0.45474375],0.0
[-0.00670718  0.44103938],-0.042142944335937516
[-0.08926557  0.49571154],-0.010652313232421884
[-0.08031928  0.47568365],-0.017307128906250024
[-0.23731378  0.40509523],0.0
[-0.16389862  0.45953763],-0.003094482421874989
[-0.24051565  0.32426431],-0.0005334472656249867
[-0.19140817  0.34786364],-0.0010328674316406605
[-0.18998494  0.41078239],-0.00047041893005356217
[-0.21712572  0.35973319],0.0
[-0.19834424  0.38957384],-6.834056228410823e-05
[-0.19642861  0.3706124 ],0.0
[-0.20003264  0.38061653],-9.94756723229906e-05
[-0.20741445  0.37089705],-1.0323439491921604e-05
[-0.205565    0.36994456],0.0
[-0.20002407  0.37356319],-6.844556010077163e-06
[-0.20739507  0.36391798],-2.219327006741656e-05
[-0.20196005  0.36753455],-5.695427046092938e-06
[-0.20277168  0.36779394],-5.695427046092938e-06
[-0.20237057  0.36971124],-5.695427046092938e-06
[-0.20440436  0.36823626],-5.881330322421441e-06
[-0.20479455  0.36632686],-5.924027246029251e-06
[-0.20348778  0.36850567],-6.650323952472892e-06
[-0.20427271  0.36782922],-6.650323952472892e-06
[-0.20389695  0.36802364],-6.871812945008493e-06
[-0.20433798  0.36724922],-6.871812945008493e-06
[-0.20402372  0.3676851 ],-6.871812945008493e-06
