x,direcao_descida,erro,f(min)
[-0.07142857 -0.01428571],[-0.71428571 -0.14285714],0.07284313590846836,-0.054285714285714284
[-0.13571429 -0.02714286],[-0.64285714 -0.12857143],0.06555882231762153,-0.09825714285714286
[-0.19357143 -0.03871429],[-0.57857143 -0.11571429],0.059002940085859365,-0.133874
[-0.24564286 -0.04912857],[-0.52071429 -0.10414286],0.053102646077273434,-0.1627236542857143
[-0.29250714 -0.05850143],[-0.46864286 -0.09372857],0.047792381469546064,-0.18609187425714285
[-0.334685 -0.066937],[-0.42177857 -0.08435571],0.04301314332259149,-0.20502013243399997
[-0.37264507 -0.07452901],[-0.37960071 -0.07592014],0.03871182899033235,-0.2203520215572543
[-0.40680914 -0.08136183],[-0.34164064 -0.06832813],0.034840646091299096,-0.23277085174709022
[-0.43755679 -0.08751136],[-0.30747658 -0.06149532],0.031356581482169174,-0.24283010420085738
[-0.46522969 -0.09304594],[-0.27672892 -0.05534578],0.028220923333952288,-0.2509780986884088
[-0.49013529 -0.09802706],[-0.24905603 -0.04981121],0.025398831000557055,-0.2575779742233254
[-0.51255033 -0.10251007],[-0.22415043 -0.04483009],0.02285894790050134,-0.2629238734066079
[-0.53272387 -0.10654477],[-0.20173538 -0.04034708],0.02057305311045118,-0.2672540517450666
[-0.55088005 -0.11017601],[-0.18156184 -0.03631237],0.018515747799406127,-0.2707614961992183
[-0.56722062 -0.11344412],[-0.16340566 -0.03268113],0.016664173019465437,-0.2736025262070811
[-0.58192713 -0.11638543],[-0.14706509 -0.02941302],0.014997755717518884,-0.27590376051344995
[-0.59516299 -0.1190326 ],[-0.13235858 -0.02647172],0.013497980145767037,-0.2777677603016087
[-0.60707526 -0.12141505],[-0.11912273 -0.02382455],0.012148182131190313,-0.2792776001300174
[-0.61779631 -0.12355926],[-0.10721045 -0.02144209],0.01093336391807127,-0.2805005703910283
[-0.62744525 -0.12548905],[-0.09648941 -0.01929788],0.009840027526264165,-0.28149117630244724
[-0.63612929 -0.12722586],[-0.08684047 -0.01736809],0.008856024773637795,-0.28229356709069653
[-0.64394494 -0.12878899],[-0.07815642 -0.01563128],0.00797042229627397,-0.2829435036291785
[-0.65097901 -0.1301958 ],[-0.07034078 -0.01406816],0.00717338006664663,-0.2834699522253489
[-0.65730968 -0.13146194],[-0.0633067  -0.01266134],0.0064560420599819104,-0.2838963755882469
[-0.66300729 -0.13260146],[-0.05697603 -0.01139521],0.005810437853983729,-0.2842417785121943
[-0.66813513 -0.13362703],[-0.05127843 -0.01025569],0.005229394068585346,-0.28452155488059155
[-0.67275019 -0.13455004],[-0.04615058 -0.00923012],0.004706454661726758,-0.2847481737389935
[-0.67690374 -0.13538075],[-0.04153553 -0.00830711],0.004235809195554115,-0.2849317350142991
[-0.68064194 -0.13612839],[-0.03738197 -0.00747639],0.003812228275998769,-0.28508041964729647
[-0.68400632 -0.13680126],[-0.03364378 -0.00672876],0.003431005448398828,-0.2852008542000244
[-0.68703426 -0.13740685],[-0.0302794  -0.00605588],0.0030879049035589753,-0.28529840618773405
[-0.6897594  -0.13795188],[-0.02725146 -0.00545029],0.002779114413203121,-0.28537742329777893
[-0.69221203 -0.13844241],[-0.02452631 -0.00490526],0.002501202971882722,-0.28544142715691523
[-0.6944194  -0.13888388],[-0.02207368 -0.00441474],0.0022510826746945135,-0.2854932702828156
[-0.69640603 -0.13928121],[-0.01986631 -0.00397326],0.002025974407225032,-0.28553526321479483
[-0.698194  -0.1396388],[-0.01787968 -0.00357594],0.0018233769665025395,-0.2855692774896982
[-0.69980317 -0.13996063],[-0.01609171 -0.00321834],0.0016410392698522865,-0.28559682905236977
[-0.70125143 -0.14025029],[-0.01448254 -0.00289651],0.0014769353428670117,-0.2856191458181339
[-0.70255485 -0.14051097],[-0.01303429 -0.00260686],0.0013292418085803662,-0.2856372223984027
[-0.70372794 -0.14074559],[-0.01173086 -0.00234617],0.0011963176277223213,-0.2856518644284205
[-0.70478372 -0.14095674],[-0.01055777 -0.00211155],0.0010766858649500532,-0.2856637244727348
