x,direcao_descida,erro,f(min)
[0.13333333 0.25      ],[1.33333333 2.5       ],0.2833333333333333,-0.6016666666666667
[0.25333333 0.475     ],[1.2  2.25],0.25499999999999995,-1.0890166666666665
[0.36133333 0.6775    ],[1.08  2.025],0.2295,-1.4837701666666665
[0.45853333 0.85975   ],[0.972  1.8225],0.20655000000000004,-1.8035205016666669
[0.54601333 1.023775  ],[0.8748  1.64025],0.18589500000000006,-2.062518273016667
[0.62474533 1.1713975 ],[0.78732  1.476225],0.1673055,-2.2723064678101674
[0.69560413 1.30425775],[0.708588  1.3286025],0.15057495,-2.442234905592902
[0.75937705 1.42383198],[0.6377292  1.19574225],0.13551745500000004,-2.5798769401969173
[0.81677268 1.53144878],[0.57395628 1.07616802],0.12196570949999994,-2.6913669882261697
[0.86842875 1.6283039 ],[0.51656065 0.96855122],0.10976913855000003,-2.7816739271298636
[0.91491921 1.71547351],[0.46490459 0.8716961 ],0.09879222469500012,-2.854822547641857
[0.95676062 1.79392616],[0.41841413 0.78452649],0.08891300222549997,-2.914072930256569
[0.99441789 1.86453354],[0.37657272 0.70607384],0.08002170200294993,-2.962065740174488
[1.02830943 1.92808019],[0.33891544 0.63546646],0.07201953180265505,-3.0009399162080004
[1.05881182 1.98527217],[0.3050239  0.57191981],0.06481757862238939,-3.0324279987951472
[1.08626397 2.03674495],[0.27452151 0.51472783],0.05833582076015037,-3.0579333456907376
[1.11097091 2.08307046],[0.24706936 0.46325505],0.05250223868413569,-3.078592676676164
[1.13320715 2.12476341],[0.22236242 0.41692954],0.047252014815721756,-3.0953267347743596
[1.15321977 2.16228707],[0.20012618 0.37523659],0.04252681333414956,-3.108881321833896
[1.17123113 2.19605836],[0.18011356 0.33771293],0.038274132000734755,-3.1198605373521238
[1.18744135 2.22645253],[0.16210221 0.30394164],0.03444671880066137,-3.128753701921885
[1.20203055 2.25380727],[0.14589199 0.27354747],0.031002046920595227,-3.135957165223396
[1.21516083 2.27842655],[0.13130279 0.24619273],0.02790184222853573,-3.1417919704976143
[1.22697808 2.30058389],[0.11817251 0.22157345],0.025111658005682293,-3.146518162769736
[1.2376136 2.3205255],[0.10635526 0.19941611],0.022600492205113863,-3.1503463785101515
[1.24718557 2.33847295],[0.09571973 0.1794745 ],0.020340442984602438,-3.1534472332598877
[1.25580035 2.35462566],[0.08614776 0.16152705],0.018306398686142124,-3.1559589256071776
[1.26355365 2.36916309],[0.07753298 0.14537434],0.01647575881752806,-3.157993396408482
[1.27053162 2.38224678],[0.06977968 0.13083691],0.01482818293577535,-3.15964131775754
[1.27681179 2.3940221 ],[0.06280172 0.11775322],0.013345364642197854,-3.160976134050271
[1.28246394 2.40461989],[0.05652154 0.1059779 ],0.012010828177977722,-3.162057335247387
[1.28755088 2.4141579 ],[0.05086939 0.09538011],0.010809745360180286,-3.162933108217051
[1.29212913 2.42274211],[0.04578245 0.0858421 ],0.009728770824162158,-3.1636424843224793
[1.29624955 2.4304679 ],[0.04120421 0.07725789],0.008755893741746052,-3.1642170789678756
[1.29995793 2.43742111],[0.03708379 0.0695321 ],0.007880304367571282,-3.1646825006306436
[1.30329547 2.443679  ],[0.03337541 0.06257889],0.007092273930813973,-3.165059492177489
[1.30629925 2.4493111 ],[0.03003787 0.056321  ],0.006383046537732728,-3.16536485533043
[1.30900266 2.45437999],[0.02703408 0.0506889 ],0.005744741883959414,-3.16561219948432
[1.31143573 2.45894199],[0.02433067 0.04562001],0.005170267695563561,-3.1658125482489643
[1.31362549 2.46304779],[0.0218976  0.04105801],0.004653240926007176,-3.1659748307483273
[1.31559627 2.46674301],[0.01970784 0.03695221],0.00418791683340626,-3.166106279572811
[1.31736998 2.47006871],[0.01773706 0.03325699],0.003769125150065869,-3.166212753120645
[1.31896632 2.47306184],[0.01596335 0.02993129],0.0033922126350591254,-3.1662989966943913
[1.32040302 2.47575566],[0.01436702 0.02693816],0.0030529913715532046,-3.166368853989122
[1.32169605 2.47818009],[0.01293032 0.02424434],0.0027476922343979498,-3.1664254383978543
[1.32285978 2.48036208],[0.01163728 0.02181991],0.0024729230109582566,-3.1664712717689274
[1.32390713 2.48232587],[0.01047356 0.01963792],0.0022256307098623106,-3.166508396799503
[1.32484975 2.48409329],[0.0094262  0.01767413],0.0020030676388763462,-3.166538468074261
[1.32569811 2.48568396],[0.00848358 0.01590671],0.001802760874988534,-3.1665628258068166
[1.32646163 2.48711556],[0.00763522 0.01431604],0.001622484787489759,-3.166582555570189
[1.3271488  2.48840401],[0.0068717  0.01288444],0.0014602363087408143,-3.16659853667852
[1.32776726 2.48956361],[0.00618453 0.01159599],0.001314212677866558,-3.1666114813762665
[1.32832386 2.49060724],[0.00556608 0.01043639],0.0011827914100799438,-3.1666219665814475
[1.32882481 2.49154652],[0.00500947 0.00939276],0.0010645122690721611,-3.166630459597637
