xk,beta_k1,pk1,erro,f(min),gk1,pk,xk1,gk
[-0.01  0.01],0.9802,[-1.9602  1.9802],0.01414213562373095,-0.0199,[ 0.98 -1.  ],[-1.9602  1.9802],[-0.01  0.01],[ 0.98 -1.  ]
[-0.029602  0.029802],0.9615640024566416,[-2.82605376  2.90368904],0.027863194504578977,-0.058527681596000004,[ 0.941196 -0.9996  ],[-2.82605376  2.90368904],[-0.029602  0.029802],[ 0.941196 -0.9996  ]
[-0.05786254  0.05883889],0.9450665755709712,[-3.55703658  3.74222675],0.040519118781615376,-0.11335240143325853,[ 0.88622763 -0.99804729],[-3.55703658  3.74222675],[-0.05786254  0.05883889],[ 0.88622763 -0.99804729]
[-0.0934329   0.09626116],0.9313158727654227,[-4.13151533  4.47953866],0.051630194906149056,-0.18095635477331543,[ 0.8187907  -0.99434349],[-4.13151533  4.47953866],[-0.0934329   0.09626116],[ 0.8187907  -0.99434349]
[-0.13474806  0.14105654],0.9204506173477609,[-4.5459767   5.11057715],0.060939056052743384,-0.25760776533797625,[ 0.74312086 -0.98738302],[-4.5459767   5.11057715],[-0.13474806  0.14105654],[ 0.74312086 -0.98738302]
[-0.18020782  0.19216232],0.9121393213840057,[-4.81005744  5.63764939],0.06839875944866833,-0.339752370025763,[ 0.66349334 -0.97609102],[-4.81005744  5.63764939],[-0.18020782  0.19216232],[ 0.66349334 -0.97609102]
[-0.2283084   0.24853881],0.9056784196259667,[-4.94020925  6.06543657],0.07410785598258562,-0.42431321371678776,[ 0.58384403 -0.95953918],[-4.94020925  6.06543657],[-0.2283084   0.24853881],[ 0.58384403 -0.95953918]
[-0.27771049  0.30919318],0.9001623769274275,[-4.95453489  6.39691243],0.07822735335015256,-0.5087893900268868,[ 0.50754439 -0.93703463],[-4.95453489  6.39691243],[-0.27771049  0.30919318],[ 0.50754439 -0.93703463]
[-0.32725584  0.3731623 ],0.8946853205520245,[-4.87005088  6.63141072],0.08091223920037172,-0.5912143516399814,[ 0.43730124 -0.90818708],[-4.87005088  6.63141072],[-0.32725584  0.3731623 ],[ 0.43730124 -0.90818708]
[-0.37595635  0.43947641],0.888530925654035,[-4.70231823  6.76517339],0.08227575810040699,-0.6700547815651828,[ 0.37512742 -0.87295988],[-4.70231823  6.76517339],[-0.37595635  0.43947641],[ 0.37512742 -0.87295988]
[-0.42297953  0.50712814],0.8813130651343315,[-4.46655266  6.79393848],0.08238893601545014,-0.744114999556128,[ 0.32233816 -0.83170278],[-4.46655266  6.79393848],[-0.42297953  0.50712814],[ 0.32233816 -0.83170278]
[-0.46764506  0.57506753],0.8730416745743975,[-4.17904143  6.71654649],0.08130663727255526,-0.8124810965790576,[ 0.27955482 -0.78515506],[-4.17904143  6.71654649],[-0.46764506  0.57506753],[ 0.27955482 -0.78515506]
[-0.50943547  0.64223299],0.8641040712561743,[-3.85785081  6.53820012],0.07910523624469852,-0.8745087813302165,[ 0.2467241  -0.73440496],[-3.85785081  6.53820012],[-0.50943547  0.64223299],[ 0.2467241  -0.73440496]
[-0.54801398  0.70761499],0.8551691315923113,[-3.522289   6.2720649],0.07591513272945402,-0.9298371664464299,[ 0.22317407 -0.68079798],[-3.522289   6.2720649],[-0.54801398  0.70761499],[ 0.22317407 -0.68079798]
[-0.58323687  0.77033564],0.8470372245254061,[-3.1912337  5.9384749],0.07193421846280094,-0.9784013141143918,[ 0.2077238  -0.62580246],[-3.1912337  5.9384749],[-0.58323687  0.77033564],[ 0.2077238  -0.62580246]
[-0.61514921  0.82972039],0.8404690309778616,[-2.88097705  5.56196188],0.06741621219529338,-1.0204202573219363,[ 0.19884395 -0.57085763],[-2.88097705  5.56196188],[-0.61514921  0.82972039],[ 0.19884395 -0.57085763]
[-0.64395898  0.88534001],0.8360284633193485,[-2.60342293  5.16719638],0.06263820614599552,-1.0563510190956595,[ 0.19484411 -0.51723794],[-2.60342293  5.16719638],[-0.64395898  0.88534001],[ 0.19484411 -0.51723794]
[-0.66999321  0.93701197],0.8339686865515769,[-2.36522432  4.77524244],0.05785994239643441,-1.0868152607171313,[ 0.19405112 -0.46596247],[-2.36522432  4.77524244],[-0.66999321  0.93701197],[ 0.19405112 -0.46596247]
