x,direcao_descida,erro,f(min),x_anterior
[-0.001  0.001],[-1.  1.],0.001414213562373095,-0.001999,[-0.001  0.001]
[-0.001998  0.002   ],[-0.998  1.   ],0.0014128000566251402,-0.003994007992,[-0.001998  0.002   ]
[-0.00299401  0.003     ],[-0.996008  0.999996],0.001411390780783267,-0.005985039880239792,[-0.00299401  0.003     ]
[-0.00398803  0.00399998],[-0.99402396  0.99998802],0.0014099857024798181,-0.007972111442234186,[-0.00398803  0.00399998]
[-0.00498008  0.00499996],[-0.99204784  0.9999761 ],0.0014085847896299197,-0.00995523833003645,[-0.00498008  0.00499996]
[-0.00597016  0.00599992],[-0.9900796   0.99996024],0.0014071880104291764,-0.011934436071488665,[-0.00597016  0.00599992]
[-0.00695828  0.00699986],[-0.9881192   0.99994048],0.001405795333351384,-0.01390972007145909,[-0.00695828  0.00699986]
[-0.00794445  0.00799978],[-0.98616661  0.99991684],0.0014044067271462583,-0.015881105613066708,[-0.00794445  0.00799978]
[-0.00892867  0.00899967],[-0.98422177  0.99988934],0.001403022160837172,-0.017848607858893067,[-0.00892867  0.00899967]
[-0.00991095  0.00999953],[-0.98228467  0.999858  ],0.0014016416037189196,-0.01981224185218155,[-0.00991095  0.00999953]
[-0.01089131  0.01099935],[-0.98035524  0.99982285],0.0014002650253554874,-0.021772022518024244,[-0.01089131  0.01099935]
[-0.01186974  0.01199913],[-0.97843347  0.99978392],0.001398892395577833,-0.02372796466453644,[-0.01186974  0.01199913]
[-0.01284626  0.01299887],[-0.9765193   0.99974122],0.0013975236844817043,-0.025680082984019043,[-0.01284626  0.01299887]
[-0.01382087  0.01399857],[-0.97461271  0.99969477],0.00139615886242544,-0.027628392054108816,[-0.01382087  0.01399857]
[-0.01479359  0.01499821],[-0.97271365  0.99964461],0.0013947979000278148,-0.02957290633891684,[-0.01479359  0.01499821]
[-0.01576441  0.0159978 ],[-0.97082208  0.99959075],0.001393440768165878,-0.031513640190155026,[-0.01576441  0.0159978 ]
[-0.01673335  0.01699734],[-0.96893797  0.99953321],0.0013920874379728205,-0.033450607848251115,[-0.01673335  0.01699734]
[-0.01770041  0.01799681],[-0.96706129  0.99947202],0.0013907378808358508,-0.035383823443451944,[-0.01770041  0.01799681]
[-0.0186656   0.01899622],[-0.96519199  0.9994072 ],0.0013893920683940878,-0.037313300996915426,[-0.0186656   0.01899622]
[-0.01962893  0.01999555],[-0.96333003  0.99933877],0.0013880499725364614,-0.039239054421791125,[-0.01962893  0.01999555]
[-0.0205904   0.02099482],[-0.96147539  0.99926675],0.001386711565399635,-0.04116109752428971,[-0.0205904   0.02099482]
[-0.02155003  0.02199401],[-0.95962802  0.99919117],0.0013853768193659475,-0.043079444004741216,[-0.02155003  0.02199401]
[-0.02250782  0.02299312],[-0.95778789  0.99911204],0.0013840457070613574,-0.044994107458642456,[-0.02250782  0.02299312]
[-0.02346378  0.02399215],[-0.95595497  0.99902939],0.001382718201353409,-0.046905101377693575,[-0.02346378  0.02399215]
[-0.0244179  0.0249911],[-0.9541292   0.99894324],0.0013813942753492078,-0.04881243915082372,[-0.0244179  0.0249911]
[-0.02537022  0.02598995],[-0.95231057  0.99885362],0.0013800739023934118,-0.05071613406520628,[-0.02537022  0.02598995]
[-0.02632071  0.02698871],[-0.95049904  0.99876053],0.0013787570560662495,-0.05261619930726354,[-0.02632071  0.02698871]
[-0.02726941  0.02798738],[-0.94869456  0.99866401],0.0013774437101815313,-0.05451264796366081,[-0.02726941  0.02798738]
[-0.02821631  0.02898594],[-0.94689711  0.99856407],0.0013761338387846865,-0.05640549302229049,[-0.02821631  0.02898594]
[-0.02916141  0.0299844 ],[-0.94510665  0.99846073],0.0013748274161508162,-0.05829474737324574,[-0.02916141  0.0299844 ]
[-0.03010474  0.03098275],[-0.94332315  0.99835403],0.0013735244167827575,-0.060180423809784174,[-0.03010474  0.03098275]
[-0.03104628  0.031981  ],[-0.94154656  0.99824396],0.0013722248154091558,-0.062062535029281544,[-0.03104628  0.031981  ]
[-0.03198606  0.03297913],[-0.93977687  0.99813057],0.0013709285869825543,-0.0639410936341756,[-0.03198606  0.03297913]
[-0.03292407  0.03397714],[-0.93801402  0.99801386],0.0013696357066775163,-0.06581611213290008,[-0.03292407  0.03397714]
[-0.03386033  0.03497504],[-0.93625799  0.99789386],0.0013683461498887309,-0.06768760294080911,[-0.03386033  0.03497504]
[-0.03479484  0.03597281],[-0.93450875  0.99777059],0.0013670598922291344,-0.06955557838109204,[-0.03479484  0.03597281]
[-0.03572761  0.03697045],[-0.93276625  0.99764407],0.0013657769095280893,-0.07142005068567882,[-0.03572761  0.03697045]
[-0.03665864  0.03796797],[-0.93103048  0.99751431],0.0013644971778295067,-0.07328103199613584,[-0.03665864  0.03796797]
[-0.03758794  0.03896535],[-0.92930138  0.99738134],0.0013632206733900575,-0.07513853436455284,[-0.03758794  0.03896535]
[-0.03851552  0.03996259],[-0.92757894  0.99724518],0.0013619473726773307,-0.07699256975442022,[-0.03851552  0.03996259]
[-0.03944138  0.0409597 ],[-0.92586311  0.99710585],0.0013606772523680438,-0.07884315004149774,[-0.03944138  0.0409597 ]
[-0.04036553  0.04195666],[-0.92415387  0.99696337],0.001359410289346269,-0.08069028701467373,[-0.04036553  0.04195666]
[-0.04128799  0.04295348],[-0.92245119  0.99681775],0.0013581464607016402,-0.08253399237681591,[-0.04128799  0.04295348]
[-0.04220874  0.04395015],[-0.92075502  0.99666901],0.0013568857437276053,-0.08437427774561303,[-0.04220874  0.04395015]
[-0.04312781  0.04494666],[-0.91906533  0.99651719],0.0013556281159196782,-0.08621115465440797,[-0.04312781  0.04494666]
[-0.04404519  0.04594303],[-0.91738211  0.99636228],0.0013543735549737066,-0.08804463455302222,[-0.04404519  0.04594303]
[-0.04496089  0.04693923],[-0.9157053   0.99620432],0.001353122038784149,-0.08987472880857186,[-0.04496089  0.04693923]
[-0.04587493  0.04793527],[-0.91403489  0.99604332],0.001351873545442369,-0.09170144870627495,[-0.04587493  0.04793527]
[-0.0467873   0.04893115],[-0.91237084  0.99587931],0.0013506280532349394,-0.09352480545025078,[-0.0467873   0.04893115]
[-0.04769801  0.04992687],[-0.91071311  0.99571229],0.0013493855406419791,-0.09534481016431073,[-0.04769801  0.04992687]
[-0.04860707  0.05092241],[-0.90906168  0.99554229],0.001348145986335447,-0.09716147389274105,[-0.04860707  0.05092241]
[-0.04951449  0.05191778],[-0.90741652  0.99536933],0.0013469093691775215,-0.09897480760107732,[-0.04951449  0.05191778]
[-0.05042027  0.05291297],[-0.9057776   0.99519342],0.0013456756682189307,-0.10078482217687126,[-0.05042027  0.05291297]
[-0.05132441  0.05390799],[-0.90414487  0.99501459],0.0013444448626973556,-0.10259152843044939,[-0.05132441  0.05390799]
[-0.05222693  0.05490282],[-0.90251832  0.99483285],0.00134321693203577,-0.1043949370956637,[-0.05222693  0.05490282]
[-0.05312783  0.05589747],[-0.90089791  0.99464822],0.0013419918558408676,-0.10619505883063513,[-0.05312783  0.05589747]
[-0.05402711  0.05689193],[-0.89928362  0.99446072],0.0013407696139014608,-0.10799190421848859,[-0.05402711  0.05689193]
[-0.05492479  0.0578862 ],[-0.89767541  0.99427037],0.0013395501861868772,-0.10978548376808107,[-0.05492479  0.0578862 ]
[-0.05582086  0.05888028],[-0.89607324  0.99407718],0.0013383335528454419,-0.11157580791472188,[-0.05582086  0.05888028]
[-0.05671534  0.05987416],[-0.89447711  0.99388117],0.001337119694202853,-0.11336288702088547,[-0.05671534  0.05987416]
[-0.05760823  0.06086784],[-0.89288696  0.99368236],0.0013359085907606926,-0.11514673137691701,[-0.05760823  0.06086784]
[-0.05849953  0.06186132],[-0.89130278  0.99348077],0.0013347002231948741,-0.11692735120173055,[-0.05849953  0.06186132]
[-0.05938925  0.0628546 ],[-0.88972453  0.99327642],0.0013334945723541241,-0.11870475664350016,[-0.05938925  0.0628546 ]
[-0.0602774   0.06384767],[-0.88815218  0.99306931],0.0013322916192584659,-0.12047895778034369,[-0.0602774   0.06384767]
