k,a,b,y,f(y),z,f(z),erro,min
0,0.0,3.0,1.1458980337503153,-1.79024325749306,1.8541019662496847,1.0425724725044159,3.0,1.5
1,0.0,1.8541019662496847,0.7082039324993691,-2.0363612324741327,1.1458980337503153,-1.79024325749306,1.8541019662496847,0.9270509831248424
2,0.0,1.1458980337503153,0.43769410125094627,-1.6137421274451103,0.7082039324993691,-2.0363612324741327,1.1458980337503153,0.5729490168751576
3,0.43769410125094627,1.1458980337503153,0.7082039324993691,-2.0363612324741327,0.8753882025018926,-2.0780274972709796,0.708203932499369,0.7917960675006308
4,0.7082039324993691,1.1458980337503153,0.8753882025018926,-2.0780274972709796,0.9787137637477917,-2.0199269246908536,0.4376941012509462,0.9270509831248421
5,0.7082039324993691,0.9787137637477917,0.8115294937452682,-2.081907111070987,0.8753882025018926,-2.0780274972709796,0.27050983124842265,0.8434588481235804
6,0.7082039324993691,0.8753882025018926,0.7720626412559937,-2.0720710402104245,0.8115294937452682,-2.081907111070987,0.16718427000252356,0.7917960675006308
7,0.7720626412559937,0.8753882025018926,0.8115294937452682,-2.081907111070987,0.8359213500126181,-2.083313239842336,0.10332556124589898,0.8237254218789432
8,0.8115294937452682,0.8753882025018926,0.8359213500126181,-2.083313239842336,0.8509963462345427,-2.0823973872590886,0.06385870875662447,0.8434588481235804
9,0.8115294937452682,0.8509963462345427,0.8266044899671926,-2.083197501334195,0.8359213500126181,-2.083313239842336,0.039466852489274507,0.8312629199899054
10,0.8266044899671926,0.8509963462345427,0.8359213500126181,-2.083313239842336,0.8416794861891171,-2.0831243585308568,0.024391856267350076,0.8388004181008677
11,0.8266044899671926,0.8416794861891171,0.8323626261436915,-2.0833305065159897,0.8359213500126181,-2.083313239842336,0.015074996221924541,0.8341419880781549
12,0.8266044899671926,0.8359213500126181,0.8301632138361192,-2.0833031843604535,0.8323626261436915,-2.0833305065159897,0.009316860045425535,0.8312629199899053
13,0.8301632138361192,0.8359213500126181,0.8323626261436915,-2.0833305065159897,0.8337219377050459,-2.0833328802932605,0.005758136176498896,0.8330422819243687
14,0.8323626261436915,0.8359213500126181,0.8337219377050459,-2.0833328802932605,0.8345620384512636,-2.083328804184533,0.0035587238689266387,0.8341419880781549
15,0.8323626261436915,0.8345620384512636,0.8332027268899093,-2.0833332821592045,0.8337219377050459,-2.0833328802932605,0.002199412307572146,0.8334623322974776
16,0.8323626261436915,0.8337219377050459,0.8328818369588282,-2.0833327217864044,0.8332027268899093,-2.0833332821592045,0.0013593115613543816,0.8330422819243687
17,0.8328818369588282,0.8337219377050459,0.8332027268899093,-2.0833332821592045,0.8334010477739648,-2.083333319577597,0.0008401007462176535,0.8333018873319371
