a,x2,f(a),erro,f(x1),i,f(b),b,x1,f(x2)
[0.],[2.584],0.0,[-3.],-0.33377300000000076,18,12.0,[3.],[1.597],7.111168000000001
[0.],[1.597],0.0,[-2.584],-2.0124929999999996,17,7.111168000000001,[2.584],[0.987],-0.33377300000000076
[0.],[0.987],0.0,[-1.597],-1.9337,16,-0.33377300000000076,[1.597],[0.61],-2.0124929999999996
[0.61],[1.22],-1.9337,[-0.987],-2.0124929999999996,15,-0.33377300000000076,[1.597],[0.987],-1.6348000000000003
[0.61],[0.987],-1.9337,[-0.61],-2.083053,14,-1.6348000000000003,[1.22],[0.843],-2.0124929999999996
[0.61],[0.843],-1.9337,[-0.377],-2.064452,13,-2.0124929999999996,[0.987],[0.754],-2.083053
[0.754],[0.898],-2.064452,[-0.233],-2.083053,12,-2.0124929999999996,[0.987],[0.843],-2.0707880000000003
[0.754],[0.843],-2.064452,[-0.144],-2.0815569999999997,11,-2.0707880000000003,[0.898],[0.809],-2.083053
[0.809],[0.864],-2.0815569999999997,[-0.089],-2.083053,10,-2.0707880000000003,[0.898],[0.843],-2.0805119999999997
[0.809],[0.843],-2.0815569999999997,[-0.055],-2.0833000000000004,9,-2.0805119999999997,[0.864],[0.83],-2.083053
[0.809],[0.83],-2.0815569999999997,[-0.034],-2.082948,8,-2.083053,[0.843],[0.822],-2.0833000000000004
[0.822],[0.835],-2.082948,[-0.021],-2.0833000000000004,7,-2.083053,[0.843],[0.83],-2.0833250000000003
[0.83],[0.838],-2.0833000000000004,[-0.013],-2.0833250000000003,6,-2.083053,[0.843],[0.835],-2.0832680000000003
[0.83],[0.835],-2.0833000000000004,[-0.008],-2.0833329999999997,5,-2.0832680000000003,[0.838],[0.833],-2.0833250000000003
[0.83],[0.833],-2.0833000000000004,[-0.005],-2.083328,4,-2.0833250000000003,[0.835],[0.832],-2.0833329999999997
[0.832],[0.834],-2.083328,[-0.003],-2.0833329999999997,3,-2.0833250000000003,[0.835],[0.833],-2.0833319999999995
[0.832],[0.833],-2.083328,[-0.002],-2.0833329999999997,2,-2.0833319999999995,[0.834],[0.833],-2.0833329999999997
[0.832],[0.833],-2.083328,[-0.001],-2.083328,1,-2.0833329999999997,[0.833],[0.832],-2.0833329999999997
