i,x1,f(x1),x2,fx2,a,f(a),f(b)
18,[1.597],-0.33377300000000076,[2.584],7.111168000000001,[0.],0.0,12.0
17,[0.987],-2.0124929999999996,[1.597],-0.33377300000000076,[0.],0.0,7.111168000000001
16,[0.61],-1.9337,[0.987],-2.0124929999999996,[0.],0.0,-0.33377300000000076
15,[0.987],-2.0124929999999996,[1.22],-1.6348000000000003,[0.61],-1.9337,-0.33377300000000076
14,[0.843],-2.083053,[0.987],-2.0124929999999996,[0.61],-1.9337,-1.6348000000000003
13,[0.754],-2.064452,[0.843],-2.083053,[0.61],-1.9337,-2.0124929999999996
12,[0.843],-2.083053,[0.898],-2.0707880000000003,[0.754],-2.064452,-2.0124929999999996
11,[0.809],-2.0815569999999997,[0.843],-2.083053,[0.754],-2.064452,-2.0707880000000003
10,[0.843],-2.083053,[0.864],-2.0805119999999997,[0.809],-2.0815569999999997,-2.0707880000000003
9,[0.83],-2.0833000000000004,[0.843],-2.083053,[0.809],-2.0815569999999997,-2.0805119999999997
8,[0.822],-2.082948,[0.83],-2.0833000000000004,[0.809],-2.0815569999999997,-2.083053
7,[0.83],-2.0833000000000004,[0.835],-2.0833250000000003,[0.822],-2.082948,-2.083053
6,[0.835],-2.0833250000000003,[0.838],-2.0832680000000003,[0.83],-2.0833000000000004,-2.083053
5,[0.833],-2.0833329999999997,[0.835],-2.0833250000000003,[0.83],-2.0833000000000004,-2.0832680000000003
4,[0.832],-2.083328,[0.833],-2.0833329999999997,[0.83],-2.0833000000000004,-2.0833250000000003
3,[0.833],-2.0833329999999997,[0.834],-2.0833319999999995,[0.832],-2.083328,-2.0833250000000003
2,[0.833],-2.0833329999999997,[0.833],-2.0833329999999997,[0.832],-2.083328,-2.0833319999999995
1,[0.832],-2.083328,[0.833],-2.0833329999999997,[0.832],-2.083328,-2.0833329999999997
