a,x2,f(a),erro,f(x1),i,f(b),b,x1,f(x2)
[0.],[6.765],9.0,[-10.],1.3947610000000001,20,49.0,[10.],[4.181],14.175225000000005
[0.],[4.181],9.0,[-6.765],0.17305599999999993,19,14.175225000000005,[6.765],[2.584],1.3947610000000001
[0.],[2.584],9.0,[-4.181],1.968409,18,1.3947610000000001,[4.181],[1.597],0.17305599999999993
[1.597],[3.194],1.968409,[-2.584],0.17305599999999993,17,1.3947610000000001,[4.181],[2.584],0.03763599999999998
[2.584],[3.571],0.17305599999999993,[-1.597],0.03763599999999998,16,1.3947610000000001,[4.181],[3.194],0.3260410000000002
[2.584],[3.194],0.17305599999999993,[-0.987],0.0015209999999999768,15,0.3260410000000002,[3.571],[2.961],0.03763599999999998
[2.584],[2.961],0.17305599999999993,[-0.61],0.033488999999999935,14,0.03763599999999998,[3.194],[2.817],0.0015209999999999768
[2.817],[3.05],0.033488999999999935,[-0.377],0.0015209999999999768,13,0.03763599999999998,[3.194],[2.961],0.0025000000000000265
[2.817],[2.961],0.033488999999999935,[-0.233],0.008835999999999974,12,0.0025000000000000265,[3.05],[2.906],0.0015209999999999768
[2.906],[2.995],0.008835999999999974,[-0.144],0.0015209999999999768,11,0.0025000000000000265,[3.05],[2.961],2.4999999999998934e-05
[2.961],[3.016],0.0015209999999999768,[-0.089],2.4999999999998934e-05,10,0.0025000000000000265,[3.05],[2.995],0.0002560000000000147
[2.961],[2.995],0.0015209999999999768,[-0.055],0.0003239999999999926,9,0.0002560000000000147,[3.016],[2.982],2.4999999999998934e-05
[2.982],[3.003],0.0003239999999999926,[-0.034],2.4999999999998934e-05,8,0.0002560000000000147,[3.016],[2.995],9.000000000000683e-06
[2.995],[3.008],2.4999999999998934e-05,[-0.021],9.000000000000683e-06,7,0.0002560000000000147,[3.016],[3.003],6.400000000000012e-05
[2.995],[3.003],2.4999999999998934e-05,[-0.013],0.0,6,6.400000000000012e-05,[3.008],[3.],9.000000000000683e-06
[2.995],[3.],2.4999999999998934e-05,[-0.008],3.999999999999119e-06,5,9.000000000000683e-06,[3.003],[2.998],0.0
[2.998],[3.001],3.999999999999119e-06,[-0.005],0.0,4,9.000000000000683e-06,[3.003],[3.],1.0000000000006678e-06
[2.998],[3.],3.999999999999119e-06,[-0.003],9.999999999997797e-07,3,1.0000000000006678e-06,[3.001],[2.999],0.0
[2.999],[3.],9.999999999997797e-07,[-0.002],0.0,2,1.0000000000006678e-06,[3.001],[3.],0.0
[2.999],[3.],9.999999999997797e-07,[-0.001],9.999999999997797e-07,1,0.0,[3.],[2.999],0.0
