i,x1,f(x1),x2,fx2,a,f(a),f(b)
20,[4.181],1.3947610000000026,[6.765],14.175225000000005,[0.],9.0,49.0
19,[2.584],0.173055999999999,[4.181],1.3947610000000026,[0.],9.0,14.175225000000005
18,[1.597],1.9684089999999994,[2.584],0.173055999999999,[0.],9.0,1.3947610000000026
17,[2.584],0.173055999999999,[3.194],0.03763599999999734,[1.597],1.9684089999999994,1.3947610000000026
16,[3.194],0.03763599999999734,[3.571],0.326041,[2.584],0.173055999999999,1.3947610000000026
15,[2.961],0.0015210000000003276,[3.194],0.03763599999999734,[2.584],0.173055999999999,0.326041
14,[2.817],0.033488999999999436,[2.961],0.0015210000000003276,[2.584],0.173055999999999,0.03763599999999734
13,[2.961],0.0015210000000003276,[3.05],0.002500000000001279,[2.817],0.033488999999999436,0.03763599999999734
12,[2.906],0.00883600000000051,[2.961],0.0015210000000003276,[2.817],0.033488999999999436,0.002500000000001279
11,[2.961],0.0015210000000003276,[2.995],2.500000000260627e-05,[2.906],0.00883600000000051,0.002500000000001279
10,[2.995],2.500000000260627e-05,[3.016],0.00025599999999847967,[2.961],0.0015210000000003276,0.002500000000001279
9,[2.982],0.0003239999999991028,[2.995],2.500000000260627e-05,[2.961],0.0015210000000003276,0.00025599999999847967
8,[2.995],2.500000000260627e-05,[3.003],9.000000000369823e-06,[2.982],0.0003239999999991028,0.00025599999999847967
7,[3.003],9.000000000369823e-06,[3.008],6.399999999828765e-05,[2.995],2.500000000260627e-05,0.00025599999999847967
6,[3.],0.0,[3.003],9.000000000369823e-06,[2.995],2.500000000260627e-05,6.399999999828765e-05
5,[2.998],4.000000002335469e-06,[3.],0.0,[2.995],2.500000000260627e-05,9.000000000369823e-06
4,[3.],0.0,[3.001],1.0000000010279564e-06,[2.998],4.000000002335469e-06,9.000000000369823e-06
3,[2.999],1.0000000010279564e-06,[3.],0.0,[2.998],4.000000002335469e-06,1.0000000010279564e-06
2,[3.],0.0,[3.],0.0,[2.999],1.0000000010279564e-06,1.0000000010279564e-06
1,[2.999],1.0000000010279564e-06,[3.],0.0,[2.999],1.0000000010279564e-06,0.0
