a,x2,f(a),erro,f(x1),i,f(b),b,x1,f(x2)
[0.5],[3.084],0.5941382400409569,[-3.],-0.29504186800398147,18,0.16199312002797242,[3.5],[2.097],-0.003718100778809148
[0.5],[2.097],0.5941382400409569,[-2.584],0.027157698499084375,17,-0.003718100778809148,[3.084],[1.487],-0.29504186800398147
[1.487],[2.474],0.027157698499084375,[-1.597],-0.29504186800398147,16,-0.003718100778809148,[3.084],[2.097],-0.27179310562407216
[1.487],[2.097],0.027157698499084375,[-0.987],-0.2212857054745072,15,-0.27179310562407216,[2.474],[1.864],-0.29504186800398147
[1.864],[2.241],-0.2212857054745072,[-0.61],-0.29504186800398147,14,-0.27179310562407216,[2.474],[2.097],-0.30592761294751386
[2.097],[2.33],-0.29504186800398147,[-0.377],-0.30592761294751386,13,-0.27179310562407216,[2.474],[2.241],-0.2999600028499742
[2.097],[2.241],-0.29504186800398147,[-0.233],-0.30484790951374363,12,-0.2999600028499742,[2.33],[2.186],-0.30592761294751386
[2.186],[2.275],-0.30484790951374363,[-0.144],-0.30592761294751386,11,-0.2999600028499742,[2.33],[2.241],-0.30474944694927614
[2.186],[2.241],-0.30484790951374363,[-0.089],-0.3059558327651737,10,-0.30474944694927614,[2.275],[2.22],-0.30592761294751386
[2.186],[2.22],-0.30484790951374363,[-0.055],-0.3057017044176132,9,-0.30592761294751386,[2.241],[2.207],-0.3059558327651737
[2.207],[2.228],-0.3057017044176132,[-0.034],-0.3059558327651737,8,-0.30592761294751386,[2.241],[2.22],-0.3060087195925842
[2.22],[2.233],-0.3059558327651737,[-0.021],-0.3060087195925842,7,-0.30592761294751386,[2.241],[2.228],-0.3060019345116532
[2.22],[2.228],-0.3059558327651737,[-0.013],-0.3059980956599183,6,-0.3060019345116532,[2.233],[2.225],-0.3060087195925842
[2.225],[2.23],-0.3059980956599183,[-0.008],-0.3060087195925842,5,-0.3060019345116532,[2.233],[2.228],-0.3060096755229506
[2.228],[2.231],-0.3060087195925842,[-0.005],-0.3060096755229506,4,-0.3060019345116532,[2.233],[2.23],-0.3060083177443152
[2.228],[2.23],-0.3060087195925842,[-0.003],-0.30600980972520553,3,-0.3060083177443152,[2.231],[2.229],-0.3060096755229506
[2.228],[2.229],-0.3060087195925842,[-0.002],-0.30600980972520553,2,-0.3060096755229506,[2.23],[2.229],-0.30600980972520553
[2.228],[2.229],-0.3060087195925842,[-0.001],-0.3060087195925842,1,-0.30600980972520553,[2.229],[2.228],-0.30600980972520553
