k,a,b,y,f(y),z,f(z),erro,min
0,0.5,3.5,1.6458980337503153,-0.0935792087379601,2.3541019662496847,-0.29677489478667485,3.0,2.0
1,1.6458980337503153,3.5,2.3541019662496847,-0.29677489478667485,2.791796067500631,-0.14882305038077287,1.8541019662496847,2.5729490168751576
2,1.6458980337503153,2.791796067500631,2.0835921350012616,-0.29268544209937813,2.3541019662496847,-0.29677489478667485,1.1458980337503157,2.218847050625473
3,2.0835921350012616,2.791796067500631,2.3541019662496847,-0.29677489478667485,2.5212862362522084,-0.25811285447596305,0.7082039324993694,2.4376941012509463
4,2.0835921350012616,2.5212862362522084,2.2507764050037853,-0.30573125718423155,2.3541019662496847,-0.29677489478667485,0.43769410125094677,2.302439185626735
5,2.0835921350012616,2.3541019662496847,2.1869176962471606,-0.3048967269415014,2.2507764050037853,-0.30573125718423155,0.2705098312484231,2.218847050625473
6,2.1869176962471606,2.3541019662496847,2.2507764050037853,-0.30573125718423155,2.29024325749306,-0.30377424442205353,0.16718427000252412,2.2705098312484226
7,2.1869176962471606,2.29024325749306,2.2263845487364353,-0.3060043701275089,2.2507764050037853,-0.30573125718423155,0.10332556124589942,2.2385804768701103
8,2.1869176962471606,2.2507764050037853,2.2113095525145106,-0.3058090956792969,2.2263845487364353,-0.3060043701275089,0.0638587087566247,2.218847050625473
9,2.2113095525145106,2.2507764050037853,2.2263845487364353,-0.3060043701275089,2.2357014087818605,-0.3059855584372758,0.03946685248927473,2.231042978759148
10,2.2113095525145106,2.2357014087818605,2.220626412559936,-0.3059628119458541,2.2263845487364353,-0.3060043701275089,0.024391856267349965,2.2235054806481855
11,2.220626412559936,2.2357014087818605,2.2263845487364353,-0.3060043701275089,2.229943272605362,-0.3060097158794785,0.01507499622192432,2.228163910670898
12,2.2263845487364353,2.2357014087818605,2.229943272605362,-0.3060097158794785,2.232142684912934,-0.306005269298524,0.009316860045425202,2.231042978759148
13,2.2263845487364353,2.232142684912934,2.2285839610440075,-0.30600950495733287,2.229943272605362,-0.3060097158794785,0.005758136176498674,2.2292636168246847
14,2.2285839610440075,2.232142684912934,2.229943272605362,-0.3060097158794785,2.2307833733515796,-0.30600871565712995,0.0035587238689265277,2.2303633229784707
15,2.2285839610440075,2.2307833733515796,2.2294240617902252,-0.3060099022830071,2.229943272605362,-0.3060097158794785,0.002199412307572146,2.2296836671977935
16,2.2285839610440075,2.229943272605362,2.229103171859144,-0.30600985250871526,2.2294240617902252,-0.3060099022830071,0.0013593115613543816,2.2292636168246847
17,2.229103171859144,2.229943272605362,2.2294240617902252,-0.3060099022830071,2.2296223826742807,-0.306009870025042,0.0008401007462177645,2.229523222232253
