k,a,b,y,f(y),z,f(z),erro,min
0,0.0,3.5,1.3368810393753678,0.21210741373190234,2.163118960624632,-0.3513530229268176,3.5,1.75
1,1.3368810393753678,3.5,2.163118960624632,-0.3513530229268176,2.673762078750736,-0.3427071312473855,2.163118960624632,2.418440519687684
2,1.3368810393753678,2.673762078750736,1.8475241575014718,-0.17671101891207708,2.163118960624632,-0.3513530229268176,1.3368810393753683,2.005321559063052
3,1.8475241575014718,2.673762078750736,2.163118960624632,-0.3513530229268176,2.358167275627576,-0.40084801921653024,0.8262379212492643,2.260643118126104
4,2.163118960624632,2.673762078750736,2.358167275627576,-0.40084801921653024,2.478713763747792,-0.40124053843654406,0.510643118126104,2.4184405196876844
5,2.358167275627576,2.673762078750736,2.478713763747792,-0.40124053843654406,2.5532155906305207,-0.3880898168516731,0.3155948031231599,2.515964677189156
6,2.358167275627576,2.5532155906305207,2.432669102510305,-0.40411672507507945,2.478713763747792,-0.40124053843654406,0.1950483150029445,2.4556914331290485
7,2.358167275627576,2.478713763747792,2.4042119368650634,-0.40399204916971265,2.432669102510305,-0.40411672507507945,0.12054648812021584,2.4184405196876844
8,2.4042119368650634,2.478713763747792,2.432669102510305,-0.40411672507507945,2.45025659810255,-0.40347473914363463,0.07450182688272866,2.4414628503064275
9,2.4042119368650634,2.45025659810255,2.4217994324573087,-0.40423706128932024,2.432669102510305,-0.40411672507507945,0.04604466123748674,2.427234267483807
10,2.4042119368650634,2.432669102510305,2.4150816069180596,-0.40420720812752164,2.4217994324573087,-0.40423706128932024,0.028457165645241478,2.4184405196876844
11,2.4150816069180596,2.432669102510305,2.4217994324573087,-0.40423706128932024,2.4259512769710563,-0.4042158005635852,0.01758749559224526,2.4238753547141823
12,2.4150816069180596,2.4259512769710563,2.4192334514318077,-0.4042350094191509,2.4217994324573087,-0.40423706128932024,0.01086967005299666,2.420516441944558
13,2.4192334514318077,2.4259512769710563,2.4217994324573087,-0.40423706128932024,2.4233852959455553,-0.4042325322344278,0.006717825539248601,2.422592364201432
14,2.4192334514318077,2.4233852959455553,2.4208193149200543,-0.40423764476530466,2.4217994324573087,-0.40423706128932024,0.004151844513747616,2.4213093736886817
15,2.4192334514318077,2.4217994324573087,2.4202135689690616,-0.40423716007568644,2.4208193149200543,-0.40423764476530466,0.002565981025500985,2.4205164419445584
16,2.4202135689690616,2.4217994324573087,2.4208193149200543,-0.40423764476530466,2.421193686506316,-0.40423762151789755,0.0015858634882470746,2.421006500713185
17,2.4202135689690616,2.421193686506316,2.420587940555323,-0.4042375358163659,2.4208193149200543,-0.40423764476530466,0.0009801175372543547,2.420703627737689
