xk,yk,erro,rho_k,direcao_descida_1,direcao_descida_2,f(min),Hk1,sk,Hk,direcao_descida_1_1,xk1
[0. 0.],[-0.5  1.1],0.14142135623730953,6.249999999999999,[ 1. -1.],[-1.  1.],0.0,"[[1.0078125 0.3671875]
 [0.3671875 0.2578125]]",[-0.1  0.1],"[[1. 0.]
 [0. 1.]]",[0.5 0.1],[-0.1  0.1]
[-0.1  0.1],[-0.0453125 -0.0053125],0.05797527759743804,390.4820012202553,[0.5 0.1],[-0.540625 -0.209375],-0.12,"[[1.14284946 0.42863697]
 [0.42863697 0.28515524]]",[-0.0540625 -0.0209375],"[[1.0078125 0.3671875]
 [0.3671875 0.2578125]]",[0.4546875 0.0946875],[-0.1540625  0.0790625]
[-0.1540625  0.0790625],[-0.04547623 -0.00944943],0.060257045207115785,362.66363496308776,[0.4546875 0.0946875],[-0.56022593 -0.22189651],-0.14784453125000002,"[[1.14283458 0.42868002]
 [0.42868002 0.28519167]]",[-0.05602259 -0.02218965],"[[1.14284946 0.42863697]
 [0.42863697 0.28515524]]",[0.40921127 0.08523807],[-0.21008509  0.05687285]
[-0.21008509  0.05687285],[-0.04092116 -0.00852371],0.05423193854178009,447.72943624360727,[0.40921127 0.08523807],[-0.50420064 -0.19972988],-0.17403969842410197,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.05042006 -0.01997299],"[[1.14283458 0.42868002]
 [0.42868002 0.28519167]]",[0.3682901  0.07671436],[-0.26050516  0.03689986]
[-0.26050516  0.03689986],[-0.03682901 -0.00767144],0.04880874658861465,552.7523902992349,[0.3682901  0.07671436],[-0.45378056 -0.179757  ],-0.1952578700071867,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.04537806 -0.0179757 ],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.33146109 0.06904292],[-0.30588321  0.01892416]
[-0.30588321  0.01892416],[-0.03314611 -0.00690429],0.043927871938998685,682.4103583941119,[0.33146109 0.06904292],[-0.4084025 -0.1617813],-0.21244458899153548,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.04084025 -0.01617813],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.29831498 0.06213863],[-0.34672346  0.00274603]
[-0.34672346  0.00274603],[-0.0298315  -0.00621386],0.03953508474514381,842.4819239433558,[0.29831498 0.06213863],[-0.36756225 -0.14560317],-0.22636583136885804,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.03675623 -0.01456032],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.26848349 0.05592477],[-0.38347969 -0.01181429]
[-0.38347969 -0.01181429],[-0.02684835 -0.00559248],0.03558157627062985,1040.1011406707946,[0.26848349 0.05592477],[-0.33080603 -0.13104286],-0.2376420376944893,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.0330806  -0.01310429],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.24163514 0.05033229],[-0.41656029 -0.02491857]
[-0.41656029 -0.02491857],[-0.02416351 -0.00503323],0.032023418643566726,1284.07548230964,[0.24163514 0.05033229],[-0.29772542 -0.11793857],-0.2467757648182506,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.02977254 -0.01179386],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.21747162 0.04529906],[-0.44633283 -0.03671243]
[-0.44633283 -0.03671243],[-0.02174716 -0.00452991],0.028821076779210187,1585.2783732217438,[0.21747162 0.04529906],[-0.26795288 -0.10614471],-0.25417408378849726,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.02679529 -0.01061447],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.19572446 0.04076915],[-0.47312812 -0.0473269 ]
[-0.47312812 -0.0473269 ],[-0.01957245 -0.00407692],0.025938969101288827,1957.133794100987,[0.19572446 0.04076915],[-0.24115759 -0.09553024],-0.2601667221543971,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.02411576 -0.00955302],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.17615201 0.03669224],[-0.49724388 -0.05687993]
[-0.49724388 -0.05687993],[-0.0176152  -0.00366922],0.023345072191160204,2416.2145606184536,[0.17615201 0.03669224],[-0.21704183 -0.08597722],-0.2650207592307759,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.02170418 -0.00859772],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.15853681 0.03302302],[-0.51894806 -0.06547765]
[-0.51894806 -0.06547765],[-0.01585368 -0.0033023 ],0.021010564972044236,2982.9809390351056,[0.15853681 0.03302302],[-0.19533765 -0.0773795 ],-0.2689525292626428,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.01953377 -0.00773795],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.14268313 0.02972071],[-0.53848183 -0.0732156 ]
[-0.53848183 -0.0732156 ],[-0.01426831 -0.00297207],0.018909508474839746,3682.692517327335,[0.14268313 0.02972071],[-0.17580389 -0.06964155],-0.2721372629884549,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.01758039 -0.00696415],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.12841482 0.02674864],[-0.55606222 -0.08017975]
[-0.55606222 -0.08017975],[-0.01284148 -0.00267486],0.01701855762735588,4546.533972008964,[0.12841482 0.02674864],[-0.1582235  -0.06267739],-0.2747168973063628,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.01582235 -0.00626774],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.11557334 0.02407378],[-0.57188457 -0.08644749]
[-0.57188457 -0.08644749],[-0.01155733 -0.00240738],0.01531670186462008,5613.00490371492,[0.11557334 0.02407378],[-0.14240115 -0.05640965],-0.27680640110386817,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.01424011 -0.00564097],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.104016  0.0216664],[-0.58612468 -0.09208846]
[-0.58612468 -0.09208846],[-0.0104016  -0.00216664],0.013785031678158125,6929.635683598609,[0.104016  0.0216664],[-0.12816103 -0.05076869],-0.2784988991798475,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.0128161  -0.00507687],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.0936144  0.01949976],[-0.59894079 -0.09716532]
[-0.59894079 -0.09716532],[-0.00936144 -0.00194998],0.012406528510342262,8555.105782220635,[0.0936144  0.01949976],[-0.11534493 -0.04569182],-0.2798698226213907,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.01153449 -0.00456918],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.08425296 0.01754978],[-0.61047528 -0.10173451]
