xk,beta_k1,pk1,erro,f(min),gk1,pk,xk1,gk
[-0.01  0.01],0.8472999999999999,[-1.7973  1.7373],0.01414213562373095,-0.019200000000000002,[ 0.95 -0.89],[-1.7973  1.7373],[-0.01  0.01],[ 0.95 -0.89]
[-0.027973  0.027373],0.7251718232231795,[-2.16528632  1.95693801],0.02499699697963737,-0.049269271968,[ 0.861935 -0.697097],[-2.16528632  1.95693801],[-0.027973  0.027373],[ 0.861935 -0.697097]
[-0.04962586  0.04694238],0.6539793749249114,[-2.17597373  1.75538047],0.029185734884442757,-0.0783025003811485,[ 0.75992113 -0.47558337],[-2.17597373  1.75538047],[-0.04962586  0.04694238],[ 0.75992113 -0.47558337]
[-0.0713856   0.06449618],0.638806396118717,[-2.05376618  1.39122199],0.027957507461727354,-0.1003345532238058,[ 0.66374024 -0.26987372],[-2.05376618  1.39122199],[-0.0713856   0.06449618],[ 0.66374024 -0.26987372]
[-0.09192326  0.0784084 ],0.6756739235770376,[-1.96860451  1.0369754 ],0.02480615678045972,-0.11566760003478321,[ 0.58092826 -0.09696298],[-1.96860451  1.0369754 ],[-0.09192326  0.0784084 ],[ 0.58092826 -0.09696298]
[-0.11160931  0.08877816],0.7569944741533885,[-2.00066965  0.73993145],0.022250217313617364,-0.1266791763266307,[0.51044691 0.04505319],[-2.00066965  0.73993145],[-0.11160931  0.08877816],[0.51044691 0.04505319]
[-0.131616    0.09617747],0.8679030068080116,[-2.18462278  0.47792094],0.02133114530026495,-0.1354947951366325,[0.44823557 0.1642678 ],[-2.18462278  0.47792094],[-0.131616    0.09617747],[0.44823557 0.1642678 ]
[-0.15346223  0.10095668],0.9833558343966444,[-2.53846704  0.20192619],0.022362882409402252,-0.14362013723370853,[0.39020549 0.26804015],[-2.53846704  0.20192619],[-0.15346223  0.10095668],[0.39020549 0.26804015]
[-0.1788469   0.10297594],1.0753490090551385,[-3.06311638 -0.14320714],0.02546485638928177,-0.15216966565259132,[0.33337836 0.36034826],[-3.06311638 -0.14320714],[-0.1788469   0.10297594],[0.33337836 0.36034826]
[-0.20947807  0.10154387],1.1232543221149287,[-3.71707096 -0.60164322],0.030664621713108003,-0.16208260384608664,[0.27641225 0.44078518],[-3.71707096 -0.60164322],[-0.20947807  0.10154387],[0.27641225 0.44078518]
[-0.24664878  0.09552744],1.1179952841321446,[-4.37578793 -1.17680013],0.03765446999646662,-0.17415345112643332,[0.22012013 0.50416585],[-4.37578793 -1.17680013],[-0.24664878  0.09552744],[0.22012013 0.50416585]
[-0.29040665  0.08375944],1.061320980795129,[-4.81202391 -1.79025815],0.045312667762064704,-0.18879459840839347,[0.16790837 0.54129548],[-4.81202391 -1.79025815],[-0.29040665  0.08375944],[0.16790837 0.54129548]
