x,direcao_descida,erro,f(min),x_anterior
[-0.001  0.001],[-1.  1.],0.001414213562373095,-0.001992,[-0.001  0.001]
[-0.001995  0.001989],[-0.995  0.989],0.0014029062691427398,-0.003952291326000001,[-0.001995  0.001989]
[-0.00298504  0.0029671 ],[-0.990043  0.978103],0.0013917149925390618,-0.005881449927316429,[-0.00298504  0.0029671 ]
[-0.00397017  0.00393441],[-0.9851286   0.96730805],0.0013806387022607329,-0.007780041167216237,[-0.00397017  0.00393441]
[-0.00495043  0.00489103],[-0.98025642  0.9566142 ],0.0013696763769743773,-0.009648620017681514,[-0.00495043  0.00489103]
[-0.00592585  0.00583705],[-0.97542607  0.94602051],0.0013588270042157772,-0.011487731250590485,[-0.00592585  0.00583705]
[-0.00689649  0.00677257],[-0.97063715  0.93552607],0.001348089580291888,-0.01329790962538083,[-0.00689649  0.00677257]
[-0.00786238  0.0076977 ],[-0.9658893   0.92512995],0.0013374631101836486,-0.015079680073260063,[-0.00786238  0.0076977 ]
[-0.00882356  0.00861253],[-0.96118213  0.91483124],0.0013269466074496085,-0.016833557878026463,[-0.00882356  0.00861253]
[-0.00978008  0.00951716],[-0.95651528  0.90462905],0.0013165390941303463,-0.018560048853563008,[-0.00978008  0.00951716]
[-0.01073197  0.01041168],[-0.95188836  0.89452247],0.0013062396006536994,-0.020259649518065387,[-0.01073197  0.01041168]
[-0.01167927  0.0112962 ],[-0.94730101  0.88451062],0.001296047165740787,-0.021932847265064365,[-0.01167927  0.0112962 ]
[-0.01262202  0.01217079],[-0.94275288  0.87459264],0.0012859608363128515,-0.023580120531301305,[-0.01262202  0.01217079]
[-0.01356026  0.01303556],[-0.9382436   0.86476764],0.001275979667398889,-0.02520193896151489,[-0.01356026  0.01303556]
[-0.01449404  0.01389059],[-0.93377281  0.85503477],0.0012661027220440897,-0.026798763570195776,[-0.01449404  0.01389059]
[-0.01542338  0.01473598],[-0.92934016  0.84539317],0.0012563290712190793,-0.028371046900365026,[-0.01542338  0.01473598]
[-0.01634832  0.01557183],[-0.9249453  0.835842 ],0.0012466577937299797,-0.029919233179431085,[-0.01634832  0.01557183]
[-0.01726891  0.01639821],[-0.92058788  0.82638043],0.0012370879761292568,-0.03144375847217899,[-0.01726891  0.01639821]
[-0.01818518  0.01721521],[-0.91626756  0.81700762],0.0012276187126274063,-0.03294505083094469,[-0.01818518  0.01721521]
[-0.01909716  0.01802294],[-0.911984    0.80772276],0.001218249105005424,-0.03442353044302616,[-0.01909716  0.01802294]
[-0.0200049   0.01882146],[-0.90773687  0.79852503],0.001208978262528093,-0.03587960977538218,[-0.0200049   0.01882146]
[-0.02090842  0.01961087],[-0.90352582  0.78941362],0.001199805301858116,-0.03731369371666876,[-0.02090842  0.01961087]
[-0.02180777  0.02039126],[-0.89935053  0.78038773],0.0011907293469710345,-0.03872617971666212,[-0.02180777  0.02039126]
[-0.02270299  0.02116271],[-0.89521066  0.77144658],0.0011817495290709827,-0.0401174579231163,[-0.02270299  0.02116271]
[-0.02359409  0.0219253 ],[-0.8911059   0.76258937],0.001172864986507267,-0.04148791131610265,[-0.02359409  0.0219253 ]
[-0.02448113  0.02267911],[-0.88703592  0.75381534],0.00116407486469178,-0.04283791583987759,[-0.02448113  0.02267911]
[-0.02536413  0.02342424],[-0.8830004   0.74512371],0.0011553783160172248,-0.04416784053232389,[-0.02536413  0.02342424]
[-0.02624313  0.02416075],[-0.87899903  0.73651372],0.0011467744997762132,-0.04547804765201047,[-0.02624313  0.02416075]
[-0.02711816  0.02488874],[-0.87503149  0.72798461],0.0011382625820811625,-0.046768892802914144,[-0.02711816  0.02488874]
[-0.02798926  0.02560827],[-0.87109748  0.71953564],0.0011298417357850637,-0.04804072505684672,[-0.02798926  0.02560827]
[-0.02885645  0.02631944],[-0.86719667  0.71116606],0.0011215111404030882,-0.04929388707362932,[-0.02885645  0.02631944]
[-0.02971978  0.02702231],[-0.86332878  0.70287514],0.0011132699820350516,-0.05052871521905563,[-0.02971978  0.02702231]
[-0.03057927  0.02771697],[-0.8594935   0.69466215],0.0011051174532887298,-0.05174553968068464,[-0.03057927  0.02771697]
[-0.03143497  0.0284035 ],[-0.85569053  0.68652638],0.001097052753204035,-0.05294468458150287,[-0.03143497  0.0284035 ]
[-0.03228688  0.02908197],[-0.85191957  0.67846709],0.0010890750871780732,-0.05412646809149517,[-0.03228688  0.02908197]
[-0.03313506  0.02975245],[-0.84818033  0.6704836 ],0.0010811836668910514,-0.05529120253716275,[-0.03313506  0.02975245]
[-0.03397954  0.03041503],[-0.84447251  0.66257519],0.001073377710233084,-0.05643919450902608,[-0.03397954  0.03041503]
[-0.03482033  0.03106977],[-0.84079584  0.65474117],0.0010656564412318582,-0.05757074496714977,[-0.03482033  0.03106977]
[-0.03565748  0.03171675],[-0.83715003  0.64698085],0.0010580190899812073,-0.05868614934472584,[-0.03565748  0.03171675]
[-0.03649102  0.03235604],[-0.83353479  0.63929356],0.0010504648925705692,-0.05978569764975111,[-0.03649102  0.03235604]
[-0.03732097  0.03298772],[-0.82994984  0.6316786 ],0.0010429930910153262,-0.06086967456483374,[-0.03732097  0.03298772]
[-0.03814736  0.03361186],[-0.8263949   0.62413533],0.0010356029331880774,-0.0619383595451634,[-0.03814736  0.03361186]
[-0.03897023  0.03422852],[-0.8228697   0.61666306],0.0010282936727507854,-0.06299202691467878,[-0.03897023  0.03422852]
