xk,yk,erro,rho_k,direcao_descida_1,direcao_descida_2,f(min),Hk1,sk,Hk,direcao_descida_1_1,xk1
[0. 0.],[0.  0.2],0.223606797749979,25.000000000000004,[-1. -2.],[1. 2.],0.0,"[[1.5 0.5]
 [0.5 1. ]]",[0.1 0.2],"[[1. 0.]
 [0. 1.]]",[-1.  -1.8],[0.1 0.2]
[0.1 0.2],[ 1.5  -0.52],0.33241540277189335,4.1597337770382685,[-1.  -1.8],[2.4 2.3],-0.48000000000000004,"[[0.62209545 1.33296766]
 [1.33296766 3.40279131]]",[0.24 0.23],"[[1.5 0.5]
 [0.5 1. ]]",[ 0.5  -2.32],[0.34 0.43]
[0.34 0.43],[-0.99907053  1.22233447],0.774469248567668,1.6512081112256551,[ 0.5  -2.32],[2.78143723 7.22799202],-1.0138000000000003,"[[0.34077514 0.50608253]
 [0.50608253 1.00497154]]",[0.27814372 0.7227992 ],"[[0.62209545 1.33296766]
 [1.33296766 3.40279131]]",[-0.49907053 -1.09766553],[0.61814372 1.1527992 ]
[0.61814372 1.1527992 ],[0.05728012 0.10692929],0.15376512769872167,53.6122135162595,[-0.49907053 -1.09766553],[0.72558018 1.35569349],-2.248813696567731,"[[0.3347558  0.49923801]
 [0.49923801 1.00040818]]",[0.07255802 0.13556935],"[[0.34077514 0.50608253]
 [0.50608253 1.00497154]]",[-0.44179041 -0.99073624],[0.69070174 1.28836855]
[0.69070174 1.28836855],[0.04398658 0.09917663],0.13715056597867287,67.37007868743424,[-0.44179041 -0.99073624],[0.64250509 1.21169921],-2.4245088342440666,"[[0.33487059 0.4993182 ]
 [0.4993182  1.00030239]]",[0.06425051 0.12116992],"[[0.3347558  0.49923801]
 [0.49923801 1.00040818]]",[-0.39780382 -0.89155962],[0.75495225 1.40953847]
[0.75495225 1.40953847],[0.03978575 0.08915312],0.12343547761814853,83.17435356706427,[-0.39780382 -0.89155962],[0.57838474 1.0904599 ],-2.5655198332923606,"[[0.33486697 0.49931559]
 [0.49931559 1.00030542]]",[0.05783847 0.10904599],"[[0.33487059 0.4993182 ]
 [0.4993182  1.00030239]]",[-0.35801808 -0.8024065 ],[0.81279073 1.51858446]
[0.81279073 1.51858446],[0.03580166 0.08024073],0.11109190100060387,102.68438879347444,[-0.35801808 -0.8024065 ],[0.52054251 0.98141558],-2.679737732416884,"[[0.33486708 0.49931568]
 [0.49931568 1.00030533]]",[0.05205425 0.09814156],"[[0.33486697 0.49931559]
 [0.49931559 1.00030542]]",[-0.32221642 -0.72216577],[0.86484498 1.61672602]
[0.86484498 1.61672602],[0.03222165 0.07221657],0.09998271167822714,126.77085036428994,[-0.32221642 -0.72216577],[0.46848836 0.88327398],-2.772254229924949,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.04684884 0.0883274 ],"[[0.33486708 0.49931568]
 [0.49931568 1.00030533]]",[-0.28999477 -0.6499492 ],[0.91169381 1.70505342]
[0.91169381 1.70505342],[0.02899948 0.06499492],0.08998444048873327,156.5072226719632,[-0.28999477 -0.6499492 ],[0.42163952 0.79494658],-2.8471925929058743,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.04216395 0.07949466],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.26099529 -0.58495428],[0.95385776 1.78454808]
[0.95385776 1.78454808],[0.02609953 0.05849543],0.08098599644046245,193.2187934221797,[-0.26099529 -0.58495428],[0.37947557 0.71545192],-2.907892666920424,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.03794756 0.07154519],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.23489576 -0.52645885],[0.99180532 1.85609327]
[0.99180532 1.85609327],[0.02348958 0.05264588],0.07288739679639919,238.54172027429894,[-0.23489576 -0.52645885],[0.34152801 0.64390673],-2.957059726872212,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.0341528  0.06439067],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.21140619 -0.47381296],[1.02595812 1.92048394]
[1.02595812 1.92048394],[0.02114062 0.0473813 ],0.06559865711676029,294.4959509559235,[-0.21140619 -0.47381296],[0.30737521 0.57951606],-2.9968850454331584,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.03073752 0.05795161],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.19026557 -0.42643167],[1.05669564 1.97843555]
[1.05669564 1.97843555],[0.01902656 0.04264317],0.059038791405084966,363.5752480937193,[-0.19026557 -0.42643167],[0.27663769 0.52156445],-3.029143553467525,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.02766377 0.05215645],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.17123901 -0.3837885 ],[1.08435941 2.03059199]
[1.08435941 2.03059199],[0.0171239  0.03837885],0.05313491226457556,448.85833097991576,[-0.17123901 -0.3837885 ],[0.24897392 0.46940801],-3.0552729449753624,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.02489739 0.0469408 ],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.15411511 -0.34540965],[1.1092568  2.07753279]
[1.1092568  2.07753279],[0.01541151 0.03454097],0.04782142103811798,554.1460876295265,[-0.15411511 -0.34540965],[0.22407653 0.42246721],-3.0764377520967123,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.02240765 0.04224672],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.1387036  -0.31086869],[1.13166446 2.11977951]
[1.13166446 2.11977951],[0.01387036 0.03108687],0.04303927893430629,684.1309723821197,[-0.1387036  -0.31086869],[0.20166888 0.38022049],-3.0935812458650025,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.02016689 0.03802205],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.12483324 -0.27978182],[1.15183134 2.15780156]
