xk,beta_k1,pk1,erro,f(min),gk1,pk,xk1,gk
[0.01 0.02],0.98408,[1.98408 3.94816],0.022360679774997897,-0.0498,[-1.   -1.98],[1.98408 3.94816],[0.01 0.02],[-1.   -1.98]
[0.0298408 0.0594816],0.9685273723312251,[2.92043579 5.76501943],0.044186582615088024,-0.14703490963072,[-0.9988    -1.9411184],[2.92043579 5.76501943],[0.0298408 0.0594816],[-0.9988    -1.9411184]
[0.05904516 0.11713179],0.9536292630213896,[3.7792619 7.383435 ],0.06462537754573941,-0.286447439732318,[-0.99424887 -1.88574377],[3.7792619 7.383435 ],[0.05904516 0.11713179],[-0.99424887 -1.88574377]
[0.09683778 0.19096614],0.939547291163936,[4.53453882 8.75424844],0.08294451936156945,-0.460525020027566,[-0.98374354 -1.81716208],[4.53453882 8.75424844],[0.09683778 0.19096614],[-0.98374354 -1.81716208]
[0.14218317 0.27850863],0.9263339865980225,[5.16535122 9.84842233],0.09858950657738126,-0.6603654253954881,[-0.96485379 -1.73906448],[5.16535122 9.84842233],[0.14218317 0.27850863],[-0.96485379 -1.73906448]
[0.19383668 0.37699285],0.9139983165418937,[ 5.6570393  10.65649009],0.11120803730813303,-0.8765894663927125,[-0.93591698 -1.65504866],[ 5.6570393  10.65649009],[0.19383668 0.37699285],[-0.93591698 -1.65504866]
[0.25040707 0.48355775],0.9025771076088577,[ 6.00237584 11.18651541],0.12064944038036107,-1.1001618515270177,[-0.89646167 -1.56821141],[ 6.00237584 11.18651541],[0.25040707 0.48355775],[-0.89646167 -1.56821141]
[0.31043083 0.59542291],0.8921663270297285,[ 6.20248511 11.46112571],0.12695142488550154,-1.323041728616523,[-0.8473675  -1.48089334],[ 6.20248511 11.46112571],[0.31043083 0.59542291],[-0.8473675  -1.48089334]
[0.37245568 0.71003416],0.8828921051264004,[ 6.26686196 11.51353483],0.13031815838949679,-1.538625122780151,[-0.79073683 -1.39459742],[ 6.26686196 11.51353483],[0.37245568 0.71003416],[-0.79073683 -1.39459742]
[0.4351243  0.82516951],0.874840114230281,[ 6.21202771 11.38256987],0.13108586616001844,-1.741962776057087,[-0.72952548 -1.31006775],[ 6.21202771 11.38256987],[0.4351243  0.82516951],[-0.72952548 -1.31006775]
[0.49724458 0.93899521],0.86798930857375,[ 6.05900999 11.10743557],0.1296735073943793,-1.9297596291296302,[-0.66703635 -1.22748661],[ 6.05900999 11.10743557],[0.49724458 0.93899521],[-0.66703635 -1.22748661]
[0.55783468 1.05006957],0.8621947332766301,[ 5.83044778 10.72350224],0.1265253835892016,-2.100195764557538,[-0.60640128 -1.14672979],[ 5.83044778 10.72350224],[0.55783468 1.05006957],[-0.60640128 -1.14672979]
