x,direcao_descida,erro,f(min),x_anterior
[0.001 0.002],[1. 2.],0.0022360679774997894,-0.004998,[0.001 0.002]
[0.002    0.003998],[1.    1.998],0.0022342793021464438,-0.009988007992,[0.002    0.003998]
[0.00299999 0.00599401],[0.999988 1.996008],0.0022324927628568033,-0.014970039880622434,[0.00299999 0.00599401]
[0.00399995 0.00798803],[0.99996419 1.9940239 ],0.0022307083366279036,-0.019944111445780285,[0.00399995 0.00798803]
[0.00499988 0.00998008],[0.99992877 1.99204759],0.002228926001101364,-0.024910238345881564,[0.00499988 0.00998008]
[0.00599976 0.01197016],[0.99988191 1.99007897],0.002227145734544476,-0.029868436120937873,[0.00599976 0.01197016]
[0.00699959 0.01395828],[0.9998238  1.98811794],0.0022253675158318844,-0.034818720195580036,[0.00699959 0.01395828]
[0.00799934 0.01594444],[0.99975462 1.98616441],0.0022235913244277716,-0.039761105881983574,[0.00799934 0.01594444]
[0.00899902 0.01792866],[0.99967455 1.98421828],0.0022218171403685797,-0.044695608382706725,[0.00899902 0.01792866]
[0.0099986  0.01991094],[0.99958376 1.98227946],0.002220044944246237,-0.04962224279344363,[0.0099986  0.01991094]
[0.01099808 0.02189129],[0.99948244 1.98034784],0.0022182747171918702,-0.054541024105695314,[0.01099808 0.02189129]
[0.01199745 0.02386971],[0.99937073 1.97842335],0.0022165064408600026,-0.05945196720936093,[0.01199745 0.02386971]
[0.0129967  0.02584622],[0.99924883 1.97650588],0.002214740097413212,-0.06435508689525159,[0.0129967  0.02584622]
[0.01399582 0.02782081],[0.99911687 1.97459535],0.0022129756695072234,-0.06925039785752914,[0.01399582 0.02782081]
[0.01499479 0.0297935 ],[0.99897504 1.97269167],0.0022112131402764685,-0.07413791469607231,[0.01499479 0.0297935 ]
[0.01599362 0.0317643 ],[0.99882349 1.97079475],0.0022094524933200413,-0.07901765191877222,[0.01599362 0.0317643 ]
[0.01699228 0.0337332 ],[0.99866238 1.96890451],0.0022076937126880854,-0.08388962394375934,[0.01699228 0.0337332 ]
[0.01799077 0.03570022],[0.99849186 1.96702087],0.002205936782868557,-0.0887538451015644,[0.01799077 0.03570022]
[0.01898908 0.03766537],[0.99831208 1.96514374],0.00220418168877439,-0.09361032963721448,[0.01898908 0.03766537]
[0.01998721 0.03962864],[0.9981232  1.96327303],0.002202428415731063,-0.09845909171226712,[0.01998721 0.03962864]
[0.02098513 0.04159005],[0.99792536 1.96140868],0.0022006769494644723,-0.10330014540678359,[0.02098513 0.04159005]
[0.02198285 0.0435496 ],[0.99771871 1.9595506 ],0.0021989272760892116,-0.10813350472124358,[0.02198285 0.0435496 ]
[0.02298035 0.0455073 ],[0.99750339 1.95769871],0.0021971793820971665,-0.11295918357840291,[0.02298035 0.0455073 ]
[0.02397763 0.04746315],[0.99727954 1.95585293],0.002195433254346467,-0.11777719582509596,[0.02397763 0.04746315]
[0.02497468 0.04941716],[0.9970473 1.9540132],0.0021936888800507415,-0.12258755523398468,[0.02497468 0.04941716]
[0.02597149 0.05136934],[0.99680681 1.95217943],0.002191946246768704,-0.1273902755052555,[0.02597149 0.05136934]
[0.02696805 0.05331969],[0.99655821 1.95035155],0.0021902053423940226,-0.13218537026826593,[0.02696805 0.05331969]
[0.02796435 0.05526822],[0.99630162 1.9485295 ],0.0021884661551455254,-0.13697285308314242,[0.02796435 0.05526822]
