res,erro
[0. 0.],-0.18
[0.0672 0.0832],-0.22500000000000003
[0.4248 0.4928],-0.14125
[1.48755 1.48755],-0.7128125000000002
[1.74996563 3.38709062],0.0
[ 4.79454082 12.01324395],-0.9859375000000008
[ 7.8225627  11.61023457],0.0
[25.29059062 35.68446562],-0.9115624999999992
[23.24355 42.33955],0.0
[ 45.9259377  106.92470332],0.0
[41.1072 77.8912],0.0
[45.46256562 70.30069062],0.0
[58.90637207 93.0177002 ],0.0
[ 69.63456563 130.94819062],0.0
[ 64.20505939 109.33368903],0.0
[ 67.19528835 121.96172917],0.0
[ 64.60120914 113.60163931],0.0
[ 56.40158877 100.78520705],-0.008900589942935966
[ 60.12226582 110.3955002 ],0.0
[ 58.85576538 105.72107117],0.0
[ 60.46081865 105.35473065],-7.890054955472792e-05
[ 60.76777522 106.98835879],0.0
[ 61.90920004 110.22896872],-0.0004988067003441898
[ 60.1040554  106.86627217],-0.0005393277962149057
[ 61.23953382 110.10732783],0.0
[ 60.69994386 108.31593592],0.0
[ 61.12645229 109.48259211],-4.494281085021257e-05
[ 61.30930945 109.38079587],0.0
[ 61.13203214 109.30709879],-1.5159050135160612e-05
[ 60.96121046 108.87649561],-2.319604665546038e-05
[ 61.17883882 109.23746773],0.0
[ 61.02759509 108.94973862],0.0
[ 61.09849099 109.05812533],-2.0940009619607736e-06
[ 61.00794839 108.80703889],-2.0940009619607736e-06
[ 61.07098881 108.95970287],-2.8325252112715305e-06
[ 61.07874699 108.91523673],-2.872411107635031e-06
[ 61.04144514 108.87229871],-3.0851820511657024e-06
[ 61.06555961 108.92675572],-3.1551091619341776e-06
[ 61.06613735 108.907399  ],-3.1551091619341776e-06
[ 61.05422423 108.87533381],-3.213561498238704e-06
