xk,yk,erro,rho_k,direcao_descida_1,direcao_descida_2,f(min),Hk1,sk,Hk,direcao_descida_1_1,xk1
[0. 0.],[-0.2  0. ],0.14142135623730953,50.00000000000001,[ 1. -1.],[-1.  1.],0.0,"[[ 0.5 -0.5]
 [-0.5  2.5]]",[-0.1  0.1],"[[1. 0.]
 [0. 1.]]",[ 0.8 -1. ],[-0.1  0.1]
[-0.1  0.1],[0.22 0.4 ],0.3036445290137796,10.395010395010393,[ 0.8 -1. ],[-0.9  2.9],-0.19,"[[ 0.71006133 -0.61553373]
 [-0.61553373  1.06354355]]",[-0.09  0.29],"[[ 0.5 -0.5]
 [-0.5  2.5]]",[ 1.02 -0.6 ],[-0.19  0.39]
[-0.19  0.39],[-0.18423901  0.03447755],0.16729030891392294,40.794984203951714,[ 1.02 -0.6 ],[-1.0935828   1.26597054],-0.5039000000000001,"[[ 0.50183494 -0.49019455]
 [-0.49019455  1.05239777]]",[-0.10935828  0.12659705],"[[ 0.71006133 -0.61553373]
 [-0.61553373  1.06354355]]",[ 0.83576099 -0.56552245],[-0.29935828  0.51659705]
[-0.29935828  0.51659705],[-0.07768403  0.06164199],0.12227007015327682,86.16428074947828,[ 0.83576099 -0.56552245],[-0.69663009  1.00484005],-0.6791472691718438,"[[ 0.51156868 -0.48542062]
 [-0.48542062  1.01837359]]",[-0.06966301  0.100484  ],"[[ 0.50183494 -0.49019455]
 [-0.49019455  1.05239777]]",[ 0.75807696 -0.50388046],[-0.36902129  0.61708106]
[-0.36902129  0.61708106],[-0.07673601  0.04974447],0.10845799233693418,108.27301085175372,[ 0.75807696 -0.50388046],[-0.6324024   0.88112474],-0.7883919866228322,"[[ 0.50945047 -0.48542167]
 [-0.48542167  1.02248858]]",[-0.06324024  0.08811247],"[[ 0.51156868 -0.48542062]
 [-0.48542062  1.01837359]]",[ 0.68134095 -0.45413599],[-0.43226153  0.70519353]
[-0.43226153  0.70519353],[-0.06800546  0.04550592],0.09768743251227915,133.72896420523463,[ 0.68134095 -0.45413599],[-0.56755692  0.79508653],-0.8761131537843172,"[[ 0.50976756 -0.48540306]
 [-0.48540306  1.02181412]]",[-0.05675569  0.07950865],"[[ 0.50945047 -0.48542167]
 [-0.48542167  1.02248858]]",[ 0.61333549 -0.40863007],[-0.48901722  0.78470219]
[-0.48901722  0.78470219],[-0.06135175  0.04085002],0.08790479535536312,165.09926470421806,[ 0.61333549 -0.40863007],[-0.51100882  0.7152589 ],-0.9471519660077848,"[[ 0.50971748 -0.48540552]
 [-0.48540552  1.02191913]]",[-0.05110088  0.07152589],"[[ 0.50976756 -0.48540306]
 [-0.48540306  1.02181412]]",[ 0.55198374 -0.36778005],[-0.5401181   0.85622808]
[-0.5401181   0.85622808],[-0.05519581  0.03677984],0.07911620347760485,203.82630666516968,[ 0.55198374 -0.36778005],[-0.45987823  0.64377743],-1.0046930986656744,"[[ 0.50972533 -0.48540512]
 [-0.48540512  1.02190265]]",[-0.04598782  0.06437774],"[[ 0.50971748 -0.48540552]
 [-0.48540552  1.02191913]]",[ 0.49678793 -0.33100021],[-0.58610593  0.92060582]
[-0.58610593  0.92060582],[-0.04967916  0.03309976],0.07120431520251605,251.63741727260629,[ 0.49678793 -0.33100021],[-0.41389459  0.5793934 ],-1.0513014100425968,"[[ 0.5097241  -0.48540519]
 [-0.48540519  1.02190523]]",[-0.04138946  0.05793934],"[[ 0.50972533 -0.48540512]
 [-0.48540512  1.02190265]]",[ 0.44710878 -0.29790045],[-0.62749539  0.97854516]
[-0.62749539  0.97854516],[-0.04471083  0.02979008],0.0640839214475892,310.6634781639803,[ 0.44710878 -0.29790045],[-0.37250454  0.52145495],-1.0890541421369595,"[[ 0.50972429 -0.48540518]
 [-0.48540518  1.02190483]]",[-0.03725045  0.0521455 ],"[[ 0.5097241  -0.48540519]
 [-0.48540519  1.02190523]]",[ 0.40239795 -0.26811037],[-0.66474584  1.03069065]
[-0.66474584  1.03069065],[-0.0402398   0.02681103],0.05767552397388242,383.53515822864335,[ 0.40239795 -0.26811037],[-0.33525417  0.46930933],-1.1196338551309861,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190489]]",[-0.03352542  0.04693093],"[[ 0.50972429 -0.48540518]
 [-0.48540518  1.02190483]]",[ 0.36215815 -0.24129934],[-0.69827126  1.07762159]
[-0.69827126  1.07762159],[-0.03621581  0.02412993],0.05190797232831728,473.5001953440497,[ 0.36215815 -0.24129934],[-0.30172874  0.42237841],-1.1444034226560997,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.03017287  0.04223784],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190489]]",[ 0.32594234 -0.2171694 ],[-0.72844413  1.11985943]
[-0.72844413  1.11985943],[-0.03259423  0.02171694],0.04671717498941331,584.5681424000644,[ 0.32594234 -0.2171694 ],[-0.27155587  0.38014057],-1.1644667723514406,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.02715559  0.03801406],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.2933481  -0.19545246],[-0.75559972  1.15787349]
[-0.75559972  1.15787349],[-0.02933481  0.01954525],0.04204545750543728,721.6890646914369,[ 0.2933481  -0.19545246],[-0.24440028  0.34212651],-1.1807180856046666,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.02444003  0.03421265],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.26401329 -0.17590722],[-0.78003975  1.19208614]
[-0.78003975  1.19208614],[-0.02640133  0.01759072],0.03784091175278216,890.9741539400474,[ 0.26401329 -0.17590722],[-0.21996025  0.30791386],-1.1938816493397806,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.02199603  0.03079139],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.23761196 -0.1583165 ],[-0.80203577  1.22287752]
[-0.80203577  1.22287752],[-0.0237612   0.01583165],0.03405682057780193,1099.968091284002,[ 0.23761196 -0.1583165 ],[-0.19796423  0.27712248],-1.2045441359652218,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.01979642  0.02771225],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.21385077 -0.14248485],[-0.82183219  1.25058977]
[-0.82183219  1.25058977],[-0.02138508  0.01424848],0.03065113851997965,1357.9852978814904,[ 0.21385077 -0.14248485],[-0.17816781  0.24941023],-1.2131807501318304,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.01781678  0.02494102],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.19246569 -0.12823636],[-0.83964897  1.27553079]
[-0.83964897  1.27553079],[-0.01924657  0.01282364],0.027586024667987537,1676.5250591129566,[ 0.19246569 -0.12823636],[-0.16035103  0.22446921],-1.2201764076067827,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.0160351   0.02244692],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.17321912 -0.11541273],[-0.85568408  1.29797771]
[-0.85568408  1.29797771],[-0.01732191  0.01154127],0.02482742220118801,2069.7840235962376,[ 0.17321912 -0.11541273],[-0.14431592  0.20202229],-1.225842890161493,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.01443159  0.02020223],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.15589721 -0.10387145],[-0.87011567  1.31817994]
[-0.87011567  1.31817994],[-0.01558972  0.01038715],0.022344679981069322,2555.2889180200464,[ 0.15589721 -0.10387145],[-0.12988433  0.18182006],-1.23043274103081,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.01298843  0.01818201],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.14030749 -0.09348431],[-0.8831041   1.33636195]
[-0.8831041   1.33636195],[-0.01403075  0.00934843],0.020110211982962423,3154.6776765679433,[ 0.14030749 -0.09348431],[-0.1168959   0.16363805],-1.2341505202349556,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.01168959  0.01636381],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.12627674 -0.08413588],[-0.89479369  1.35272575]
[-0.89479369  1.35272575],[-0.01262767  0.00841359],0.018099190784666225,3894.663798232023,[ 0.12627674 -0.08413588],[-0.10520631  0.14727425],-1.2371619213903142,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.01052063  0.01472742],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.11364906 -0.07572229],[-0.90531432  1.36745318]
[-0.90531432  1.36745318],[-0.01136491  0.00757223],0.01628927170619944,4808.226911397629,[ 0.11364906 -0.07572229],[-0.09468568  0.13254682],-1.2396011563261546,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00946857  0.01325468],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.10228416 -0.06815006],[-0.91478289  1.38070786]
[-0.91478289  1.38070786],[-0.01022842  0.00681501],0.014660344535579559,5936.082606663686,[ 0.10228416 -0.06815006],[-0.08521711  0.11929214],-1.2415769366241851,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00852171  0.01192921],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.09205574 -0.06133505],[-0.9233046   1.39263707]
[-0.9233046   1.39263707],[-0.00920557  0.00613351],0.013194310082021628,7328.4970452637845,[ 0.09205574 -0.06133505],[-0.0766954   0.10736293],-1.24317731866559,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00766954  0.01073629],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.08285017 -0.05520155],[-0.93097414  1.40337337]
[-0.93097414  1.40337337],[-0.00828502  0.00552015],0.011874879073819384,9047.527216375162,[ 0.08285017 -0.05520155],[-0.06902586  0.09662663],-1.244473628119128,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00690259  0.00966266],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.07456515 -0.04968139],[-0.93787673  1.41303603]
[-0.93787673  1.41303603],[-0.00745652  0.00496814],0.010687391166437545,11169.78668688269,[ 0.07456515 -0.04968139],[-0.06212327  0.08696397],-1.2455236387764936,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00621233  0.0086964 ],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.06710864 -0.04471325],[-0.94408905  1.42173243]
[-0.94408905  1.42173243],[-0.00671086  0.00447133],0.009618652049793737,13789.860107262692,[ 0.06710864 -0.04471325],[-0.05591095  0.07826757],-1.2463741474089596,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00559109  0.00782676],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.06039777 -0.04024193],[-0.94968015  1.42955918]
[-0.94968015  1.42955918],[-0.00603978  0.00402419],0.008656786844814385,17024.518650941634,[ 0.06039777 -0.04024193],[-0.05031985  0.07044082],-1.2470630594012575,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00503199  0.00704408],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.054358   -0.03621774],[-0.95471213  1.43660327]
[-0.95471213  1.43660327],[-0.0054358   0.00362177],0.007791108160332977,21017.924260421685,[ 0.054358   -0.03621774],[-0.04528787  0.06339673],-1.247621078115018,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00452879  0.00633967],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.0489222  -0.03259596],[-0.95924092  1.44294294]
[-0.95924092  1.44294294],[-0.00489222  0.0032596 ],0.007011997344299624,25948.054642496198,[ 0.0489222  -0.03259596],[-0.04075908  0.05705706],-1.248073073273165,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00407591  0.00570571],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.04402998 -0.02933637],[-0.96331683  1.44864865]
