res,erro
[ 0.0384 -0.1056],-0.09
[0. 0.],-0.2175
[0.0981 0.2001],-0.271875
[0.40505625 0.50480625],-0.16921874999999997
[1.14267539 1.13676914],-0.18999999999999995
[2.80687698 1.7072012 ],0.0
[2.31915159 1.67242893],-0.08890624999999996
[4.01016135 2.42714963],-0.19246093750000037
[3.43625625 2.63150625],0.0
[4.83820344 3.63553694],0.0
[5.16710423 4.8436301 ],-0.0031249999999993783
[6.56743164 4.69107959],-0.022685546875000462
[6.87721851 6.20979321],0.0
[6.65138672 5.65336955],0.0
[6.61809588 5.15605181],-0.0003405380249024148
[6.08614068 5.13133654],-0.0035431647300714353
[6.04222331 4.67901772],0.0
[6.15389196 4.84191347],0.0
[6.15458657 4.99006868],0.0
[6.35770932 5.18201832],-0.00021079907601295744
[6.35909193 5.02837944],-7.721561381845987e-05
[6.25862865 5.04729025],-2.27710615199328e-05
[6.33457317 5.10953852],-1.228247816786876e-05
[6.32875743 5.05338333],-9.903134102540179e-06
[6.29543211 5.06434252],-1.937709773303098e-05
[6.32348425 5.08415113],0.0
[6.30843075 5.06915892],0.0
[6.30412953 5.04887459],-1.9275962768183774e-06
[6.31922192 5.06381109],-1.9275962768183774e-06
[6.30939668 5.05607242],-1.9275962768183774e-06
[6.31448311 5.0616097 ],-2.0752165128534728e-06
[6.3100733  5.06274607],-2.2958674477102647e-06
[6.31083968 5.05912444],-2.2958674477102647e-06
[6.31086554 5.06147216],-2.3051716664390653e-06
[6.31247136 5.06127247],-2.344151472488676e-06
