x,direcao_descida,erro,f(min)
[-0.1   0.15],[-1.   1.5],0.18027756377319948,-0.2375
[-0.19   0.285],[-0.9   1.35],0.16224980739587952,-0.4298750000000001
[-0.271   0.4065],[-0.81   1.215],0.14602482665629157,-0.58569875
[-0.3439   0.51585],[-0.729   1.0935],0.13142234399066244,-0.7119159875
[-0.40951   0.614265],[-0.6561   0.98415],0.1182801095915962,-0.8141519498750002
[-0.468559   0.7028385],[-0.59049   0.885735],0.10645209863243654,-0.89696307939875
[-0.5217031   0.78255465],[-0.531441   0.7971615],0.0958068887691929,-0.9640400943129874
[-0.56953279  0.85429919],[-0.4782969   0.71744535],0.08622619989227362,-1.01837247639352
[-0.61257951  0.91886927],[-0.43046721  0.64570081],0.07760357990304621,-1.0623817058787512
[-0.65132156  0.97698234],[-0.38742049  0.58113073],0.06984322191274166,-1.0980291817617884
[-0.6861894   1.02928411],[-0.34867844  0.52301766],0.06285889972146738,-1.1269036372270487
[-0.71757046  1.0763557 ],[-0.3138106   0.47071589],0.05657300974932076,-1.1502919461539092
[-0.74581342  1.11872013],[-0.28242954  0.4236443 ],0.05091570877438866,-1.1692364763846663
[-0.77123208  1.15684811],[-0.25418658  0.38127987],0.04582413789694976,-1.18458154587158
[-0.79410887  1.1911633 ],[-0.22876792  0.34315189],0.04124172410725484,-1.1970110521559794
[-0.81469798  1.22204697],[-0.20589113  0.3088367 ],0.03711755169652938,-1.2070789522463437
[-0.83322818  1.24984227],[-0.18530202  0.27795303],0.033405796526876315,-1.2152339513195385
[-0.84990536  1.27485805],[-0.16677182  0.25015773],0.030065216874188828,-1.2218395005688263
[-0.86491483  1.29737224],[-0.15009464  0.22514195],0.027058695186769798,-1.2271899954607493
[-0.87842335  1.31763502],[-0.13508517  0.20262776],0.02435282566809287,-1.2315238963232071
[-0.89058101  1.33587152],[-0.12157665  0.18236498],0.021917543101283625,-1.2350343560217973
[-0.90152291  1.35228436],[-0.10941899  0.16412848],0.019725788791155174,-1.2378778283776561
[-0.91137062  1.36705593],[-0.09847709  0.14771564],0.01775320991203964,-1.2401810409859015
[-0.92023356  1.38035034],[-0.08862938  0.13294407],0.01597788892083568,-1.2420466431985797
[-0.9282102  1.3923153],[-0.07976644  0.11964966],0.014380100028752205,-1.24355778099085
[-0.93538918  1.40308377],[-0.0717898  0.1076847],0.012942090025876974,-1.2447818026025883
[-0.94185026  1.41277539],[-0.06461082  0.09691623],0.011647881023289208,-1.2457732601080969
[-0.94766524  1.42149786],[-0.05814974  0.08722461],0.010483092920960434,-1.2465763406875583
[-0.95289871  1.42934807],[-0.05233476  0.07850214],0.009434783628864336,-1.2472268359569219
[-0.95760884  1.43641326],[-0.04710129  0.07065193],0.008491305265977914,-1.2477537371251066
[-0.96184796  1.44277194],[-0.04239116  0.06358674],0.007642174739380031,-1.2481805270713364
[-0.96566316  1.44849474],[-0.03815204  0.05722806],0.0068779572654420465,-1.2485262269277828
[-0.96909685  1.45364527],[-0.03433684  0.05150526],0.006190161538897836,-1.2488062438115044
[-0.97218716  1.45828074],[-0.03090315  0.04635473],0.005571145385008133,-1.2490330574873183
[-0.97496844  1.46245267],[-0.02781284  0.04171926],0.005014030846507312,-1.2492167765647282
[-0.9774716  1.4662074],[-0.02503156  0.03754733],0.004512627761856557,-1.2493655890174291
[-0.97972444  1.46958666],[-0.0225284  0.0337926],0.0040613649856708215,-1.2494861271041184
[-0.981752    1.47262799],[-0.02027556  0.03041334],0.003655228487103899,-1.2495837629543352
[-0.9835768  1.4753652],[-0.018248    0.02737201],0.0032897056383934414,-1.2496628479930116
[-0.98521912  1.47782868],[-0.0164232  0.0246348],0.0029607350745540417,-1.24972690687434
[-0.98669721  1.48004581],[-0.01478088  0.02217132],0.002664661567098693,-1.2497787945682148
[-0.98802748  1.48204123],[-0.01330279  0.01995419],0.002398195410388787,-1.2498208236002544
[-0.98922474  1.4838371 ],[-0.01197252  0.01795877],0.0021583758693499207,-1.249854867116206
[-0.99030226  1.48545339],[-0.01077526  0.0161629 ],0.0019425382824149163,-1.2498824423641266
[-0.99127204  1.48690805],[-0.00969774  0.01454661],0.0017482844541734308,-1.2499047783149426
[-0.99214483  1.48821725],[-0.00872796  0.01309195],0.0015734560087560321,-1.2499228704351037
[-0.99293035  1.48939552],[-0.00785517  0.01178275],0.0014161104078804412,-1.249937525052434
[-0.99363731  1.49045597],[-0.00706965  0.01060448],0.0012744993670925264,-1.2499493952924716
[-0.99427358  1.49141037],[-0.00636269  0.00954403],0.001147049430383126,-1.2499590101869016
[-0.99484622  1.49226934],[-0.00572642  0.00858963],0.0010323444873449551,-1.24996679825139
